keys,en,it,de,fr
The main offensive attribute for Ranged heroes. It increases their Attack and therefore the power of their basic attacks and class skills; persistent class and Ascension passives are included in this combat-start total.,The main offensive attribute for Ranged heroes. It increases their Attack and therefore the power of their basic attacks and class skills; persistent class and Ascension passives are included in this combat-start total.,L'attributo offensivo principale degli eroi a Distanza. Aumenta il loro Attacco e quindi la potenza degli attacchi base e delle abilità di classe; le passive permanenti di classe e Ascensione sono incluse in questo totale di inizio combattimento.,Das wichtigste Offensivattribut für Fernkampfhelden. Sie erhöht ihren Angriff und damit die Kraft ihrer Standardangriffe und Klassenfähigkeiten; dauerhafte passive Klassen- und Aufstiegsfähigkeiten sind in dieser Gesamtsumme zu Kampfbeginn enthalten.,L'attribut offensif principal des héros À distance. Elle augmente leur Attaque et donc la puissance de leurs attaques de base et compétences de classe ; les compétences passives permanentes de classe et d'Ascension sont incluses dans ce total de début de combat.
"The possible damage range of a normal basic attack after persistent class and Ascension passives, but before critical hits, combat-only bonuses, mist effects, and the target's defenses are applied.","The possible damage range of a normal basic attack after persistent class and Ascension passives, but before critical hits, combat-only bonuses, mist effects, and the target's defenses are applied.","L'intervallo di danno possibile di un normale attacco base dopo le passive permanenti di classe e Ascensione, ma prima di applicare colpi critici, bonus solo in combattimento, effetti della Nebbia e difese del bersaglio.","Der mögliche Schadensbereich eines normalen Standardangriffs nach dauerhaften passiven Klassen- und Aufstiegsfähigkeiten, aber vor kritischen Treffern, reinen Kampfboni, Nebeleffekten und den Verteidigungswerten des Ziels.","L'intervalle de dégâts possible d'une attaque de base normale après les compétences passives permanentes de classe et d'Ascension, mais avant l'application des coups critiques, des bonus de combat uniquement, des effets de brume et des défenses de la cible."
Controls the experience credited to this hero from the share awarded to living party members when an enemy is defeated. Account and activity reward multipliers are applied later and are not part of this hero combat-start total.,Controls the experience credited to this hero from the share awarded to living party members when an enemy is defeated. Account and activity reward multipliers are applied later and are not part of this hero combat-start total.,Controlla l'esperienza accreditata a questo eroe dalla quota assegnata ai membri del gruppo ancora vivi quando un nemico viene sconfitto. I moltiplicatori ricompensa dell'account e dell'attività vengono applicati in seguito e non fanno parte di questo totale di inizio combattimento.,"Bestimmt die Erfahrung, die diesem Helden aus dem Anteil gutgeschrieben wird, den lebende Gruppenmitglieder beim Besiegen eines Gegners erhalten. Belohnungsmultiplikatoren von Konto und Aktivität werden erst später angewendet und sind nicht Teil dieser Kampfstart-Summe des Helden.",Détermine l'expérience créditée à ce héros sur la part accordée aux membres du groupe encore en vie lorsqu'un ennemi est vaincu. Les multiplicateurs de récompense de compte et d'activité sont appliqués plus tard et ne font pas partie de ce total de début de combat.
%s SPENT · %s EARNED,%s SPENT · %s EARNED,%s SPESI · %s OTTENUTI,%s AUSGEGEBEN · %s VERDIENT,%s DÉPENSÉ · %s GAGNÉ
NEXT ASCENSION POINT · LEVEL %s,NEXT ASCENSION POINT · LEVEL %s,PROSSIMO PUNTO ASCENSIONE · LIVELLO %s,NÄCHSTER AUFSTIEGSPUNKT · STUFE %s,PROCHAIN POINT D'ASCENSION · NIVEAU %s
ALL %s ASCENSION POINTS EARNED,ALL %s ASCENSION POINTS EARNED,TUTTI I %s PUNTI ASCENSIONE OTTENUTI,ALLE %s AUFSTIEGSPUNKTE VERDIENT,TOUS LES %s POINTS D'ASCENSION OBTENUS
CAPSTONE · LEVEL %s · COST %s POINT · %s SPENT REQUIRED,CAPSTONE · LEVEL %s · COST %s POINT · %s SPENT REQUIRED,APICE · LIVELLO %s · COSTO %s PUNTO · RICHIESTI %s SPESI,GIPFEL · STUFE %s · KOSTEN %s PUNKT · %s AUSGEGEBEN ERFORDERLICH,APOGÉE · NIVEAU %s · COÛT %s POINT · %s DÉPENSÉS REQUIS
LEVEL %s · %s SPENT,LEVEL %s · %s SPENT,LIVELLO %s · %s SPESI,STUFE %s · %s AUSGEGEBEN,NIVEAU %s · %s DÉPENSÉS
REQUIRES LEVEL %s,REQUIRES LEVEL %s,RICHIEDE IL LIVELLO %s,ERFORDERT STUFE %s,NIVEAU %s REQUIS
The capstone costs %s Ascension Point and unlocks only at post-reset level %s after %s points are spent.,The capstone costs %s Ascension Point and unlocks only at post-reset level %s after %s points are spent.,"L'Apice costa %s Punto Ascensione e si sblocca solo al livello %s dopo l'azzeramento, con %s punti spesi.","Der Gipfel kostet %s Aufstiegspunkt und wird erst auf Stufe %s nach dem Zurücksetzen freigeschaltet, wenn %s Punkte ausgegeben wurden.","L'Apogée coûte %s point d'ascension et ne se débloque qu'au niveau %s après réinitialisation, une fois %s points dépensés."
Requires post-reset level %s and %s points spent. Costs %s Ascension Point.,Requires post-reset level %s and %s points spent. Costs %s Ascension Point.,Richiede il livello %s dopo l'azzeramento e %s punti spesi. Costa %s Punto Ascensione.,Erfordert Stufe %s nach dem Reset und %s ausgegebene Punkte. Kostet %s Aufstiegspunkt.,Nécessite le niveau %s après réinitialisation et %s points dépensés. Coûte %s Point d'ascension.
Purchase this capstone for %s Ascension Point.,Purchase this capstone for %s Ascension Point.,Acquista questo Apice per %s Punto Ascensione.,Diesen Gipfel für %s Aufstiegspunkt kaufen.,Achète cette Apogée pour %s Point d'ascension.
"[b]Shape an elite hero's final build[/b]

Ascension unlocks immediately when elite promotion resets the hero to level 0. Choose one of four Ascendant Paths, then earn one point at post-reset levels 4, 7, 10, and every three levels through 46, with the 16th point at level 50. Adding the first rank selects that option automatically, and only one option per row can hold ranks.

Ranks can be added and removed freely within the current path. Row costs are 1, 2, 2, and 1 points; later rows unlock at 5, 9, and 15 spent. The capstone remains locked until post-reset level 50 and must be purchased for 1 point. Changing paths consumes a Sigil of Rebirth crafted in the Workshop from two Pathless Embers; same-path reassignment never consumes an item.","[b]Shape an elite hero's final build[/b]

Ascension unlocks immediately when elite promotion resets the hero to level 0. Choose one of four Ascendant Paths, then earn one point at post-reset levels 4, 7, 10, and every three levels through 46, with the 16th point at level 50. Adding the first rank selects that option automatically, and only one option per row can hold ranks.

Ranks can be added and removed freely within the current path. Row costs are 1, 2, 2, and 1 points; later rows unlock at 5, 9, and 15 spent. The capstone remains locked until post-reset level 50 and must be purchased for 1 point. Changing paths consumes a Sigil of Rebirth crafted in the Workshop from two Pathless Embers; same-path reassignment never consumes an item.","[b]Definisci la configurazione finale di un eroe élite[/b]

L'Ascensione si sblocca subito quando la promozione élite azzera l'eroe al livello 0. Scegli uno dei quattro Percorsi Ascendenti, poi ottieni un punto ai livelli 4, 7, 10 e ogni tre livelli fino al 46, con il sedicesimo punto al livello 50. Aggiungere il primo grado seleziona automaticamente l'opzione e solo un'opzione per riga può avere gradi.

I gradi possono essere aggiunti e rimossi liberamente nel percorso attuale. I costi delle righe sono 1, 2, 2 e 1 punti; le righe successive si sbloccano a 5, 9 e 15 punti spesi. L'Apice resta bloccato fino al livello 50 dopo l'azzeramento e deve essere acquistato per 1 punto. Cambiare percorso consuma un Emblema della Rinascita creato nel laboratorio con due Braci Senza Sentiero; la ridistribuzione nello stesso percorso non consuma mai oggetti.","[b]Bestimme die finale Ausrichtung eines Elite-Helden[/b]

Der Aufstieg wird sofort freigeschaltet, wenn die Elite-Beförderung den Helden auf Stufe 0 zurücksetzt. Wähle einen von vier Aufstiegspfaden und erhalte dann je einen Punkt auf den Stufen 4, 7, 10 nach dem Zurücksetzen und danach alle drei Stufen bis 46, mit dem 16. Punkt auf Stufe 50. Der erste Rang wählt diese Option automatisch aus, und pro Reihe kann nur eine Option Ränge halten.

Ränge lassen sich innerhalb des aktuellen Pfads frei hinzufügen und entfernen. Die Reihen kosten 1, 2, 2 und 1 Punkte; spätere Reihen öffnen sich bei 5, 9 und 15 ausgegebenen Punkten. Der Gipfel bleibt bis Stufe 50 nach dem Zurücksetzen gesperrt und muss für 1 Punkt gekauft werden. Ein Pfadwechsel verbraucht ein Wiedergeburtssiegel, das in der Werkstatt aus zwei Pfadlosen Gluten hergestellt wird; eine Neuverteilung im selben Pfad verbraucht nie einen Gegenstand.","[b]Façonne la configuration finale d'un héros élite[/b]

L'Ascension se débloque immédiatement lorsque la promotion élite ramène le héros au niveau 0. Choisis l'une des quatre Voies ascendantes, puis gagne un point aux niveaux 4, 7, 10 après réinitialisation, puis tous les trois niveaux jusqu'au 46, le 16e point arrivant au niveau 50. Ajouter le premier rang sélectionne automatiquement cette option, et une seule option par ligne peut recevoir des rangs.

Les rangs peuvent être ajoutés et retirés librement au sein de la voie actuelle. Les lignes coûtent 1, 2, 2 et 1 points ; les lignes suivantes se débloquent à 5, 9 et 15 points dépensés. L'Apogée reste verrouillée jusqu'au niveau 50 après réinitialisation et doit être achetée pour 1 point. Changer de voie consomme un Sceau de Renaissance fabriqué à l'Atelier avec deux Braises sans voie ; une redistribution dans la même voie ne consomme jamais d'objet."
"A hero's class sets their attack type, preferred attribute, equipment proficiencies, stats, and skills. Defeated enemies split XP among heroes still alive; a hero who falls loses 10% of their current XP. XP pauses at a promotion point until you choose a specialization. Promotion resets the displayed level for the new class, multiplies scalable stats, adds a random bonus to that class's favored stat, and replaces both skills. Elite promotion immediately unlocks Ascension at reset level 0; leveling again earns Ascension Points through level 50 while granting up to 10% extra stat growth. Open the Class Catalog to compare every specialization before choosing.","A hero's class sets their attack type, preferred attribute, equipment proficiencies, stats, and skills. Defeated enemies split XP among heroes still alive; a hero who falls loses 10% of their current XP. XP pauses at a promotion point until you choose a specialization. Promotion resets the displayed level for the new class, multiplies scalable stats, adds a random bonus to that class's favored stat, and replaces both skills. Elite promotion immediately unlocks Ascension at reset level 0; leveling again earns Ascension Points through level 50 while granting up to 10% extra stat growth. Open the Class Catalog to compare every specialization before choosing.","La classe di un eroe determina tipo di attacco, attributo preferito, competenze negli equipaggiamenti, statistiche e abilità. I nemici sconfitti dividono i PE tra gli eroi ancora vivi; un eroe caduto perde il 10% dei PE attuali. I PE si fermano a un punto di promozione finché non scegli una specializzazione. La promozione azzera il livello mostrato per la nuova classe, moltiplica le statistiche scalabili, aggiunge un bonus casuale alla statistica favorita dalla classe e sostituisce entrambe le abilità. La promozione élite sblocca subito l'Ascensione al livello 0; salire di nuovo di livello assegna Punti Ascensione fino al livello 50 e fino al 10% di crescita extra delle statistiche. Apri il Catalogo classi per confrontare tutte le specializzazioni prima di scegliere.","Die Klasse eines Helden legt Angriffsart, bevorzugtes Attribut, Ausrüstungskompetenzen, Werte und Fähigkeiten fest. Besiegte Gegner teilen EP unter den noch lebenden Helden auf; ein gefallener Held verliert 10% seiner aktuellen EP. Die EP pausieren an einem Beförderungspunkt, bis du eine Spezialisierung wählst. Die Beförderung setzt die angezeigte Stufe für die neue Klasse zurück, vervielfacht skalierbare Werte, fügt dem bevorzugten Wert dieser Klasse einen zufälligen Bonus hinzu und ersetzt beide Fähigkeiten. Die Elite-Beförderung schaltet den Aufstieg sofort bei zurückgesetzter Stufe 0 frei; erneutes Aufsteigen bringt bis Stufe 50 Aufstiegspunkte und bis zu 10% zusätzliches Wertewachstum. Öffne den Klassenkatalog, um vor der Wahl alle Spezialisierungen zu vergleichen.","La classe d'un héros définit son type d'attaque, son attribut préféré, ses maîtrises d'équipement, ses stats et ses compétences. Les ennemis vaincus partagent l'XP entre les héros encore en vie ; un héros qui tombe perd 10% de son XP actuelle. L'XP se met en pause à un point de promotion jusqu'à ce que tu choisisses une spécialisation. La promotion réinitialise le niveau affiché pour la nouvelle classe, multiplie les stats évolutives, ajoute un bonus aléatoire à la stat favorite de cette classe et remplace les deux compétences. La promotion d'élite débloque immédiatement l'Ascension au niveau 0 réinitialisé ; monter de niveau à nouveau rapporte des Points d'ascension jusqu'au niveau 50 tout en accordant jusqu'à 10% de croissance de stats supplémentaire. Ouvre le Catalogue de classes pour comparer chaque spécialisation avant de choisir."
"Every hero has six permanent rune tracks in their Runes tab. Each guaranteed rank costs 1 matching raid material in order: Verdant, Tidal, Astral, then Eclipse Rune Pieces per track. Removing a hero refunds every invested Rune Piece. Elite promotion unlocks Ascension immediately at reset level 0; subsequent levels earn 16 points through level 50. Choose one of four Ascendant Paths with choice rows of 4, 3, 2, and 1 options. Row costs are 1, 2, 2, and 1 points, with spend gates at 5, 9, and 15. The capstone requires post-reset level 50 and costs 1 point. Only changing paths consumes a crafted Sigil of Rebirth, made in the Workshop from two Pathless Embers dropped rarely by raid bosses.","Every hero has six permanent rune tracks in their Runes tab. Each guaranteed rank costs 1 matching raid material in order: Verdant, Tidal, Astral, then Eclipse Rune Pieces per track. Removing a hero refunds every invested Rune Piece. Elite promotion unlocks Ascension immediately at reset level 0; subsequent levels earn 16 points through level 50. Choose one of four Ascendant Paths with choice rows of 4, 3, 2, and 1 options. Row costs are 1, 2, 2, and 1 points, with spend gates at 5, 9, and 15. The capstone requires post-reset level 50 and costs 1 point. Only changing paths consumes a crafted Sigil of Rebirth, made in the Workshop from two Pathless Embers dropped rarely by raid bosses.","Ogni eroe ha sei percorsi runici permanenti nella scheda Rune. Ogni grado garantito costa 1 materiale da raid corrispondente, nell'ordine: Frammenti runici verdeggianti, mareali, astrali e dell'Eclissi per ciascun percorso. Rimuovere un eroe restituisce tutti i Frammenti runici investiti. La promozione élite sblocca subito l'Ascensione al livello 0; i livelli successivi assegnano 16 punti entro il livello 50. Scegli uno dei quattro Percorsi Ascendenti con righe di scelta da 4, 3, 2 e 1 opzioni. I costi delle righe sono 1, 2, 2 e 1 punti, con soglie di spesa a 5, 9 e 15. L'Apice richiede il livello 50 dopo l'azzeramento e costa 1 punto. Solo il cambio di percorso consuma un Emblema della Rinascita creato nel laboratorio con due Braci Senza Sentiero ottenute raramente dai boss dei raid.","Jeder Held hat sechs dauerhafte Runenpfade im Reiter Runen. Jeder garantierte Rang kostet 1 passendes Raid-Material, in dieser Reihenfolge: grünende, Gezeiten-, Astral- und schließlich Finsternis-Runenfragmente pro Pfad. Wird ein Held entfernt, werden alle investierten Runenfragmente erstattet. Die Elite-Beförderung schaltet den Aufstieg sofort bei Reset-Stufe 0 frei; die folgenden Stufen bringen bis Stufe 50 insgesamt 16 Punkte. Wähle einen von vier Aufstiegspfaden mit Wahlreihen zu 4, 3, 2 und 1 Optionen. Die Reihen kosten 1, 2, 2 und 1 Punkte, mit Freischaltschwellen bei 5, 9 und 15 ausgegebenen Punkten. Der Gipfel erfordert Stufe 50 nach dem Reset und kostet 1 Punkt. Nur ein Pfadwechsel verbraucht ein hergestelltes Wiedergeburtssiegel, das in der Werkstatt aus zwei Pfadlosen Gluten gefertigt wird, die selten von Raid-Bossen fallen.","Chaque héros possède six voies de runes permanentes dans son onglet Runes. Chaque rang garanti coûte 1 matériau de raid correspondant, dans cet ordre : Fragments de rune verdoyants, de marée, astraux, puis d'éclipse pour chaque voie. Retirer un héros rembourse tous les Fragments de rune investis. La promotion d'élite débloque l'Ascension immédiatement au niveau 0 après réinitialisation ; les niveaux suivants rapportent 16 points jusqu'au niveau 50. Choisis l'une des quatre Voies ascendantes, avec des rangées de choix de 4, 3, 2 et 1 options. Les rangées coûtent 1, 2, 2 et 1 points, avec des seuils de dépense à 5, 9 et 15. L'Apogée exige le niveau 50 après réinitialisation et coûte 1 point. Seul un changement de voie consomme un Sceau de renaissance fabriqué à l'Atelier avec deux Braises sans voie, rarement lâchées par les boss de raid."
"Shows progress within the current class. Gaining levels increases Health and Attack. Reaching a class milestone pauses experience gain until the hero is promoted; elite promotion unlocks Ascension at reset level 0, and subsequent elite levels earn Ascension Points through level 50.","Shows progress within the current class. Gaining levels increases Health and Attack. Reaching a class milestone pauses experience gain until the hero is promoted; elite promotion unlocks Ascension at reset level 0, and subsequent elite levels earn Ascension Points through level 50.",Mostra l'avanzamento nella classe attuale. Salire di livello aumenta Salute e Attacco. Raggiungere un traguardo di classe sospende l'esperienza finché l'eroe non viene promosso; la promozione élite sblocca l'Ascensione al livello 0 e i livelli élite successivi assegnano Punti Ascensione fino al livello 50.,"Zeigt den Fortschritt innerhalb der aktuellen Klasse. Stufenaufstiege erhöhen Leben und Angriff. Ist ein Klassenmeilenstein erreicht, pausiert der Erfahrungsgewinn, bis der Held befördert wird; die Elite-Beförderung schaltet den Aufstieg bei Reset-Stufe 0 frei, und die folgenden Elitestufen bringen bis Stufe 50 Aufstiegspunkte.","Affiche la progression au sein de la classe actuelle. Gagner des niveaux augmente la Vie et l'Attaque. Atteindre un palier de classe suspend le gain d'expérience jusqu'à la promotion du héros ; la promotion d'élite débloque l'Ascension au niveau 0 après réinitialisation, et les niveaux d'élite suivants rapportent des Points d'ascension jusqu'au niveau 50."
"Elite promotion unlocks Ascension immediately at reset level 0. Subsequent levels earn %s points through level 50. Choose one of four Ascendant Paths with four choice rows of 4, 3, 2, and 1 options; row costs are 1, 2, 2, and 1 points, with spend gates at 5, 9, and 15. The capstone requires post-reset level 50 and costs 1 point. Choosing a first path is free, while changing paths later consumes a crafted Sigil of Rebirth.","Elite promotion unlocks Ascension immediately at reset level 0. Subsequent levels earn %s points through level 50. Choose one of four Ascendant Paths with four choice rows of 4, 3, 2, and 1 options; row costs are 1, 2, 2, and 1 points, with spend gates at 5, 9, and 15. The capstone requires post-reset level 50 and costs 1 point. Choosing a first path is free, while changing paths later consumes a crafted Sigil of Rebirth.","La promozione élite sblocca subito l'Ascensione al livello 0. I livelli successivi assegnano %s punti entro il livello 50. Scegli uno dei quattro Percorsi Ascendenti con quattro righe di scelta da 4, 3, 2 e 1 opzioni; i costi delle righe sono 1, 2, 2 e 1 punti, con soglie di spesa a 5, 9 e 15. L'Apice richiede il livello 50 dopo l'azzeramento e costa 1 punto. La scelta del primo percorso è gratuita, mentre cambiare percorso in seguito consuma un Emblema della Rinascita creato.","Die Elite-Beförderung schaltet den Aufstieg sofort bei zurückgesetzter Stufe 0 frei. Die folgenden Stufen bringen bis Stufe 50 %s Punkte ein. Wähle einen von vier Aufstiegspfaden mit vier Auswahlreihen zu 4, 3, 2 und 1 Optionen; die Reihen kosten 1, 2, 2 und 1 Punkte, mit Ausgabeschwellen bei 5, 9 und 15. Der Gipfel erfordert nach dem Zurücksetzen Stufe 50 und kostet 1 Punkt. Die Wahl des ersten Pfades ist kostenlos, ein späterer Pfadwechsel verbraucht ein hergestelltes Wiedergeburtssiegel.","La promotion d'élite débloque l'Ascension immédiatement au niveau 0 réinitialisé. Les niveaux suivants rapportent %s points jusqu'au niveau 50. Choisis l'une des quatre Voies ascendantes, avec quatre rangées de choix de 4, 3, 2 et 1 options ; les rangées coûtent 1, 2, 2 et 1 points, avec des seuils de dépense à 5, 9 et 15. L'Apogée exige le niveau 50 après réinitialisation et coûte 1 point. Choisir une première voie est gratuit, tandis qu'en changer plus tard consomme un Sceau de renaissance fabriqué."
Fight contributions,Fight contributions,Statistiche combattimento,Kampfbeiträge,Contributions au combat
Contributions,Contributions,Contributi,Beiträge,Contributions
