keys,en,it,de,fr
A road divided between dawn and eclipse above the restored Worldroot.,A road divided between dawn and eclipse above the restored Worldroot.,Una via divisa tra alba ed eclissi sopra la Radice del Mondo restaurata.,"Ein Weg, geteilt zwischen Morgenrot und Finsternis über der wiederhergestellten Weltwurzel.",Une route partagée entre l'aube et l'éclipse au-dessus de la Racine du Monde restaurée.
"Dawn lasts 12 hero actions and favors Magic; Dusk lasts 12 and favors Melee. Effective Dawn healing and Dusk criticals build Lastlight before a 6-action Total Eclipse that deals 10% maximum-HP damage and reduces healing by 35%. At 15% boss HP, 100 Lastlight weakens the boss; otherwise it becomes empowered.","Dawn lasts 12 hero actions and favors Magic; Dusk lasts 12 and favors Melee. Effective Dawn healing and Dusk criticals build Lastlight before a 6-action Total Eclipse that deals 10% maximum-HP damage and reduces healing by 35%. At 15% boss HP, 100 Lastlight weakens the boss; otherwise it becomes empowered.","L'Alba dura 12 azioni degli eroi e favorisce la Magia; il Crepuscolo ne dura 12 e favorisce la Mischia. Le cure efficaci all'Alba e i colpi critici al Crepuscolo accumulano Ultimaluce prima di un'Eclissi Totale di 6 azioni, che infligge danni pari al 10% dei PV massimi e riduce le cure del 35%. Quando il boss è al 15% dei PV, 100 punti di Ultimaluce lo indeboliscono; altrimenti si potenzia.","Das Morgenrot dauert 12 Heldenaktionen und begünstigt Magie; die Abenddämmerung dauert 12 und begünstigt Nahkampf. Wirksame Heilung im Morgenrot und kritische Treffer in der Abenddämmerung sammeln Letztlicht vor einer 6 Aktionen langen Totalen Finsternis, die 10% der maximalen LP als Schaden verursacht und die Heilung um 35% senkt. Bei 15% Boss-LP schwächen 100 Letztlicht den Boss; andernfalls wird er gestärkt.","L'Aube dure 12 actions de héros et favorise la Magie ; le Crépuscule en dure 12 et favorise la Mêlée. Les soins efficaces à l'Aube et les critiques au Crépuscule accumulent de la Dernière Lueur avant une Éclipse Totale de 6 actions qui inflige 10% des PV maximum en dégâts et réduit les soins de 35%. À 15% des PV du boss, 100 de Dernière Lueur l'affaiblissent ; sinon, il devient renforcé."
"Each living Root Node gives linked enemies +4 Defense, +1% damage, and restores 3% of their maximum HP when they act, capped at 9% healing. Destroy the nodes first; Orrun can absorb survivors for permanent power.","Each living Root Node gives linked enemies +4 Defense, +1% damage, and restores 3% of their maximum HP when they act, capped at 9% healing. Destroy the nodes first; Orrun can absorb survivors for permanent power.","Ogni Nodo Radice vivente conferisce ai nemici collegati +4 Difesa, +1% danni e ripristina il 3% dei loro PV massimi quando agiscono, fino a un massimo del 9% di cure. Distruggi prima i nodi; Orrun può assorbire quelli superstiti per ottenere potere permanente.","Jeder lebende Wurzelknoten gibt verbundenen Gegnern +4 Verteidigung, +1% Schaden und stellt 3% ihrer maximalen LP wieder her, wenn sie handeln, begrenzt auf 9% Heilung. Zerstöre zuerst die Knoten; Orrun kann Überlebende aufnehmen, um dauerhafte Macht zu gewinnen.","Chaque Nœud de Racine vivant confère aux ennemis liés +4 Défense, +1% de dégâts et restaure 3% de leurs PV maximum lorsqu'ils agissent, jusqu'à un plafond de 9% de soins. Détruis d'abord les nœuds ; Orrun peut absorber les survivants pour un pouvoir permanent."
"One hit from each matching Melee, Ranged, or Magic hero builds Alignment. Reach 3 within 10 hero actions to remove one Star Hunger and gain +12% damage and +10% healing for two turns. Each sign turn deals 4% maximum-HP damage; missing it also adds one Hunger, raising enemy damage by 4%.","One hit from each matching Melee, Ranged, or Magic hero builds Alignment. Reach 3 within 10 hero actions to remove one Star Hunger and gain +12% damage and +10% healing for two turns. Each sign turn deals 4% maximum-HP damage; missing it also adds one Hunger, raising enemy damage by 4%.","Un colpo di ciascun eroe corrispondente di Mischia, Distanza o Magia aumenta l'Allineamento. Raggiungi 3 entro 10 azioni degli eroi per rimuovere una Fame Stellare e ottenere +12% danni e +10% cure per due turni. Ogni turno del segno infligge danni pari al 4% dei PV massimi; fallirlo aggiunge anche una Fame, aumentando i danni nemici del 4%.","Je ein Treffer eines passenden Nahkampf-, Fernkampf- oder Magie-Helden baut Ausrichtung auf. Erreiche 3 innerhalb von 10 Heldenaktionen, um einen Sternenhunger zu entfernen und zwei Züge lang +12% Schaden und +10% Heilung zu erhalten. Jeder Zeichenwechsel verursacht 4% der maximalen LP als Schaden; ihn zu verfehlen fügt zudem einen Hunger hinzu und erhöht den Gegnerschaden um 4%.","Un coup de chaque héros correspondant de Mêlée, À distance ou Magie augmente l'Alignement. Atteins 3 en 10 actions de héros pour retirer une Faim Stellaire et gagner +12% de dégâts et +10% de soins pendant deux tours. Chaque tour du signe inflige 4% des PV maximum en dégâts ; le manquer ajoute aussi une Faim, augmentant les dégâts ennemis de 4%."
"Pressure rises by 4 after each enemy turn; Lamplighters can surge it by 12. Wisp and Lamplighter kills lower it by 20 and 12, while Ranged or Magic criticals relieve 3 or 1. At 100 the party takes 10% maximum-HP Magic damage, and each cleared wave exacts a 4% undertow.","Pressure rises by 4 after each enemy turn; Lamplighters can surge it by 12. Wisp and Lamplighter kills lower it by 20 and 12, while Ranged or Magic criticals relieve 3 or 1. At 100 the party takes 10% maximum-HP Magic damage, and each cleared wave exacts a 4% undertow.","La Pressione aumenta di 4 dopo ogni turno nemico; i Lampionai Abissali possono farla salire di 12. Uccidere i Fuochi Fatui della Pressione e i Lampionai la riduce rispettivamente di 20 e 12, mentre i colpi critici a Distanza o di Magia la alleviano di 3 o 1. A 100, il gruppo subisce danni magici pari al 10% dei PV massimi e ogni ondata superata esige un risucchio del 4%.","Der Druck steigt nach jedem Gegnerzug um 4; Laternenanzünder können ihn um 12 hochtreiben. Das Töten von Irrlichtern und Laternenanzündern senkt ihn um 20 bzw. 12, während kritische Fernkampf- oder Magietreffer 3 bzw. 1 abbauen. Bei 100 erleidet die Gruppe Magieschaden in Höhe von 10% der maximalen LP, und jede geschaffte Welle fordert einen Sog von 4%.","La Pression augmente de 4 après chaque tour ennemi ; les Allumeurs de Lanternes peuvent la faire bondir de 12. Tuer un feu follet ou un Allumeur la réduit de 20 et de 12, tandis qu'un critique À distance ou de Magie en soulage 3 ou 1. À 100, le groupe subit des dégâts magiques égaux à 10% des PV maximum, et chaque vague franchie exige un ressac de 4%."
Approach,Approach,Avvicinamento,Anmarsch,Approche
Wing I,Wing I,Ala I,Flügel I,Aile I
Wing II,Wing II,Ala II,Flügel II,Aile II
Wing III,Wing III,Ala III,Flügel III,Aile III
Wing %s,Wing %s,Ala %s,Flügel %s,Aile %s
Pressure rising,Pressure rising,Pressione in aumento,Druck steigt,Pression en hausse
Dawn,Dawn,Alba,Morgenrot,Aube
Dusk,Dusk,Crepuscolo,Abenddämmerung,Crépuscule
Total Eclipse,Total Eclipse,Eclissi Totale,Totale Finsternis,Éclipse totale
Trial Echo,Trial Echo,Eco della Prova,Prüfungsecho,Écho de l'épreuve
Concordance Test,Concordance Test,Prova della Concordanza,Eintrachtsprüfung,Épreuve de Concordance
The Grove Walks,The Grove Walks,Il Bosco Cammina,Der Hain wandert,Le Bosquet Marche
Roadbreaker,Roadbreaker,Spezzavia,Wegbrecher,Brise-route
First Toll,First Toll,Primo Rintocco,Erster Glockenschlag,Premier glas
Crushing Choir,Crushing Choir,Coro Schiacciante,Zermalmender Chor,Chœur écrasant
Final Bellstroke,Final Bellstroke,Rintocco Finale,Letzter Glockenschlag,Dernier Coup de Cloche
Melee Head,Melee Head,Testa da Mischia,Nahkampfkopf,Tête de mêlée
Ranged Head,Ranged Head,Testa a Distanza,Fernkampfkopf,Tête à distance
Magic Head,Magic Head,Testa Magica,Magiekopf,Tête magique
%s Head,%s Head,Testa %s,%s-Kopf,Tête %s
Dawn Road,Dawn Road,Via dell'Alba,Morgenstraße,Route de l'aube
WING %s,WING %s,ALA %s,FLÜGEL %s,AILE %s
WING 1,WING 1,ALA 1,FLÜGEL 1,AILE 1
WING 2,WING 2,ALA 2,FLÜGEL 2,AILE 2
WING 3,WING 3,ALA 3,FLÜGEL 3,AILE 3
SKILL,SKILL,ABILITÀ,FÄHIGKEIT,COMPÉTENCE
Today's entry remains consumed.,Today's entry remains consumed.,L'ingresso di oggi resta comunque consumato.,Der heutige Zutritt bleibt dennoch verbraucht.,L'entrée du jour reste malgré tout consommée.
The trial can be attempted again.,The trial can be attempted again.,La prova può essere tentata di nuovo.,Die Prüfung kann erneut versucht werden.,L'épreuve peut être retentée.
[color=yellow]The raid was abandoned. %s[/color],[color=yellow]The raid was abandoned. %s[/color],[color=yellow]Il raid è stato abbandonato. %s[/color],[color=yellow]Der Raid wurde abgebrochen. %s[/color],[color=yellow]Le Raid a été abandonné. %s[/color]
[color=yellow]Constellation Complete: +12% damage and +10% healing for two turns.[/color],[color=yellow]Constellation Complete: +12% damage and +10% healing for two turns.[/color],[color=yellow]Costellazione completata: +12% ai danni e +10% alle cure per due turni.[/color],[color=yellow]Sternbild vollständig: +12% Schaden und +10% Heilung für zwei Züge.[/color],[color=yellow]Constellation complète : +12% de dégâts et +10% de soins pendant deux tours.[/color]
Living Root Network,Living Root Network,Rete di Radici Viventi,Lebendes Wurzelnetz,Réseau de Racines Vivantes
[color=yellow]Pressure reaches 100: the party suffers 10% maximum-HP damage.[/color],[color=yellow]Pressure reaches 100: the party suffers 10% maximum-HP damage.[/color],[color=yellow]La Pressione raggiunge 100: il gruppo subisce danni pari al 10% dei PV massimi.[/color],[color=yellow]Der Druck erreicht 100: die Gruppe erleidet Schaden in Höhe von 10% der maximalen LP.[/color],[color=yellow]La Pression atteint 100 : le groupe subit des dégâts égaux à 10% des PV maximum.[/color]
[color=yellow]The turning sign lashes the party for %s%% maximum HP.[/color],[color=yellow]The turning sign lashes the party for %s%% maximum HP.[/color],[color=yellow]Il segno rotante flagella il gruppo infliggendo danni pari al %s%% dei PV massimi.[/color],[color=yellow]Das wechselnde Zeichen peitscht die Gruppe für %s%% der maximalen LP.[/color],[color=yellow]Le signe qui tourne fouette le groupe pour %s%% des PV maximum.[/color]
[color=yellow]The Constellation Dial turns to %s.[/color],[color=yellow]The Constellation Dial turns to %s.[/color],[color=yellow]Il Quadrante della Costellazione passa a %s.[/color],[color=yellow]Das Sternbildzifferblatt dreht sich auf %s.[/color],[color=yellow]Le Cadran des Constellations passe à %s.[/color]
[color=yellow]Total Eclipse strikes the party for 10% maximum HP.[/color],[color=yellow]Total Eclipse strikes the party for 10% maximum HP.[/color],[color=yellow]L'Eclissi Totale colpisce il gruppo infliggendo danni pari al 10% dei PV massimi.[/color],[color=yellow]Die Totale Finsternis trifft die Gruppe für 10% der maximalen LP.[/color],[color=yellow]L'Éclipse Totale frappe le groupe pour 10% des PV maximum.[/color]
[color=yellow]The Eclipse Clock turns to %s.[/color],[color=yellow]The Eclipse Clock turns to %s.[/color],[color=yellow]L'Orologio dell'Eclissi passa a %s.[/color],[color=yellow]Die Finsternisuhr springt auf %s.[/color],[color=yellow]L'Horloge de l'Éclipse passe à %s.[/color]
[color=yellow]Orrun absorbs %s living Root Nodes and enters phase two.[/color],[color=yellow]Orrun absorbs %s living Root Nodes and enters phase two.[/color],[color=yellow]Orrun assorbe %s Nodi Radice viventi ed entra nella seconda fase.[/color],[color=yellow]Orrun nimmt %s lebende Wurzelknoten auf und tritt in Phase zwei ein.[/color],[color=yellow]Orrun absorbe %s Nœuds de Racine vivants et entre en phase deux.[/color]
[color=yellow]Roadbreaker tears open the rear line: two Root Nodes emerge.[/color],[color=yellow]Roadbreaker tears open the rear line: two Root Nodes emerge.[/color],[color=yellow]Spezzavia squarcia la retroguardia: emergono due Nodi Radice.[/color],[color=yellow]Wegbrecher reißt die hintere Reihe auf: zwei Wurzelknoten treten hervor.[/color],[color=yellow]Brise-Route déchire la ligne arrière : deux Nœuds de Racine émergent.[/color]
[color=yellow]Low pressure exposes Nhalassa's bell: +20% damage taken.[/color],[color=yellow]Low pressure exposes Nhalassa's bell: +20% damage taken.[/color],[color=yellow]La bassa Pressione espone la campana di Nhalassa: +20% ai danni subiti.[/color],[color=yellow]Niedriger Druck legt Nhalassas Glocke frei: +20% erlittener Schaden.[/color],[color=yellow]Une faible Pression expose la cloche de Nhalassa : +20% de dégâts subis.[/color]
[color=yellow]Veyra begins Devour the Pattern. Complete the constellation before six turns pass.[/color],[color=yellow]Veyra begins Devour the Pattern. Complete the constellation before six turns pass.[/color],[color=yellow]Veyra avvia Divora lo Schema. Completa la costellazione prima che trascorrano sei turni.[/color],"[color=yellow]Veyra beginnt Verschlinge das Muster. Vollende das Sternbild, bevor sechs Züge vergehen.[/color]",[color=yellow]Veyra lance Dévorer le Schéma. Complète la constellation avant que six tours ne passent.[/color]
[color=yellow]Full Lastlight answers the lethal eclipse: Aster deals 35% less damage for eight turns.[/color],[color=yellow]Full Lastlight answers the lethal eclipse: Aster deals 35% less damage for eight turns.[/color],[color=yellow]L'Ultimaluce piena risponde all'eclissi letale: Aster infligge il 35% di danni in meno per otto turni.[/color],[color=yellow]Volles Letztlicht antwortet der tödlichen Finsternis: Aster verursacht acht Züge lang 35% weniger Schaden.[/color],[color=yellow]La Dernière Lueur pleine répond à l'éclipse létale : Aster inflige 35% de dégâts en moins pendant huit tours.[/color]
[color=yellow]No Road Remains begins without enough Lastlight.[/color],[color=yellow]No Road Remains begins without enough Lastlight.[/color],[color=yellow]Non Resta Alcuna Via ha inizio senza abbastanza Ultimaluce.[/color],[color=yellow]Kein Weg bleibt beginnt ohne genug Letztlicht.[/color],[color=yellow]Nulle Route ne Demeure commence sans assez de Dernière Lueur.[/color]
[color=yellow]The completed constellation breaks Veyra's Devour the Pattern.[/color],[color=yellow]The completed constellation breaks Veyra's Devour the Pattern.[/color],[color=yellow]La costellazione completata interrompe Divora lo Schema di Veyra.[/color],[color=yellow]Das vollendete Sternbild bricht Veyras Verschlinge das Muster.[/color],[color=yellow]La constellation achevée brise Dévorer le Schéma de Veyra.[/color]
[color=#d8b34b]%s unleashes %s![/color],[color=#d8b34b]%s unleashes %s![/color],[color=#d8b34b]%s scatena %s![/color],[color=#d8b34b]%s entfesselt %s![/color],[color=#d8b34b]%s déchaîne %s ![/color]
The trial is complete.,The trial is complete.,La prova è completata.,Die Prüfung ist abgeschlossen.,L'épreuve est terminée.
The daily raid is complete.,The daily raid is complete.,Il raid giornaliero è completato.,Der tägliche Raid ist abgeschlossen.,Le Raid quotidien est terminé.
[color=yellow]Raid boss defeated. %s[/color],[color=yellow]Raid boss defeated. %s[/color],[color=yellow]Boss del raid sconfitto. %s[/color],[color=yellow]Raid-Boss besiegt. %s[/color],[color=yellow]Boss du Raid vaincu. %s[/color]
Raid encounter cleared,Raid encounter cleared,Scontro del raid superato,Raid-Begegnung geschafft,Rencontre de Raid franchie
[color=yellow]The crushing undertow exacts 4% maximum HP from the party.[/color],[color=yellow]The crushing undertow exacts 4% maximum HP from the party.[/color],[color=yellow]Il risucchio schiacciante infligge al gruppo danni pari al 4% dei PV massimi.[/color],[color=yellow]Der zermalmende Sog fordert 4% der maximalen LP von der Gruppe.[/color],[color=yellow]Le ressac écrasant prélève 4% des PV maximum du groupe.[/color]
[color=yellow]Raid progress [%s/%s]. %s[/color],[color=yellow]Raid progress [%s/%s]. %s[/color],[color=yellow]Progresso del raid [%s/%s]. %s[/color],[color=yellow]Raid-Fortschritt [%s/%s]. %s[/color],[color=yellow]Progression du Raid [%s/%s]. %s[/color]
[color=#b8f0c0]Wing cleared. Surviving heroes recover 10% HP and MP.[/color],[color=#b8f0c0]Wing cleared. Surviving heroes recover 10% HP and MP.[/color],[color=#b8f0c0]Ala superata. Gli eroi sopravvissuti recuperano il 10% di PV e PM.[/color],[color=#b8f0c0]Flügel geschafft. Überlebende Helden erholen sich um 10% LP und MP.[/color],[color=#b8f0c0]Aile franchie. Les héros survivants récupèrent 10% de PV et de PM.[/color]
[color=yellow]The raid party was defeated. %s[/color],[color=yellow]The raid party was defeated. %s[/color],[color=yellow]Il gruppo del raid è stato sconfitto. %s[/color],[color=yellow]Die Raid-Gruppe wurde besiegt. %s[/color],[color=yellow]Le groupe de Raid a été vaincu. %s[/color]
Abyssal Beacon Core,Abyssal Beacon Core,Nucleo del Faro Abissale,Abyssaler Leuchtfeuerkern,Noyau de Balise Abyssale
Colossus Heartwood,Colossus Heartwood,Durame del Colosso,Kolossen-Kernholz,Duramen du Colosse
Fallen Star Prism,Fallen Star Prism,Prisma della Stella Caduta,Prisma des gefallenen Sterns,Prisme de l'Étoile Déchue
First-Dawn Ember,First-Dawn Ember,Brace della Prima Alba,Glut des ersten Morgenrots,Braise de la Première Aube
Bell of the Lightless Deep,Bell of the Lightless Deep,Campana dell'Abisso Senza Luce,Glocke der lichtlosen Tiefe,Cloche des Profondeurs Sans Lumière
Heart of the Marching Grove,Heart of the Marching Grove,Cuore del Bosco in Marcia,Herz des marschierenden Hains,Cœur du Bosquet en Marche
Signet of the Last Road,Signet of the Last Road,Sigillo dell'Ultima Via,Siegelring des Letzten Wegs,Sceau de la Dernière Route
Veyra's Unswallowed Eye,Veyra's Unswallowed Eye,Occhio Non Divorato di Veyra,Veyras unver­schlungenes Auge,Œil non avalé de Veyra
Astral Rune Piece,Astral Rune Piece,Scheggia astrale,Astrales Runenfragment,Fragment de rune astral
Tidal Rune Piece,Tidal Rune Piece,Scheggia mareale,Gezeiten-Runenfragment,Fragment de rune de marée
Verdant Rune Piece,Verdant Rune Piece,Scheggia verde,Grünes Runen­fragment,Fragment de rune verdoyant
Eclipse Rune Piece,Eclipse Rune Piece,Scheggia eclissi,Finsternis-Runenfragment,Fragment de rune d'éclipse
A Lantern Below the Tide,A Lantern Below the Tide,Una Lanterna Sotto la Marea,Eine Laterne unter der Flut,Une Lanterne sous la Marée
Road to the Last Road,Road to the Last Road,Verso l'Ultima Via,Zum Letzten Weg,Vers la Dernière Route
The Constellation Hunt,The Constellation Hunt,Caccia alla Costellazione,Die Sternbildjagd,La Chasse à la Constellation
The Four Roots Answer,The Four Roots Answer,Le Quattro Radici Rispondono,Die vier Wurzeln antworten,Les Quatre Racines Répondent
Concordance of Dawn and Dusk,Concordance of Dawn and Dusk,Concordanza dell'Alba e del Crepuscolo,Eintracht von Morgenrot und Abend­dämmerung,Concordance de l'Aube et du Crépuscule
Fourfold Root Key,Fourfold Root Key,Chiave della Quadruplice Radice,Vierfacher Wurzelschlüssel,Clé des quatre racines
Hunter's Star Chart,Hunter's Star Chart,Carta Stellare del Cacciatore,Sternenkarte des Jägers,Carte Stellaire du Chasseur
Rekindled Depth-Lantern,Rekindled Depth-Lantern,Lanterna delle Profondità Riaccesa,Neu entfachte Tiefenlaterne,Lanterne des Profondeurs Rallumée
The Broken Mile,The Broken Mile,Il Miglio Infranto,Die zerbrochene Meile,Le Mille Brisé
The Dawnless Threshold,The Dawnless Threshold,La Soglia Senz'Alba,Die Schwelle ohne Morgenrot,Le Seuil Sans Aube
The Root-Crowned Span,The Root-Crowned Span,La Campata dalla Corona di Radici,Die Wurzelgekrönte Brücke,L'Arche Couronnée de Racines
A forgiving echo teaches the company to answer dusk with both steel and spell.,A forgiving echo teaches the company to answer dusk with both steel and spell.,Un'eco indulgente insegna alla compagnia a rispondere al crepuscolo sia con l'acciaio sia con gli incantesimi.,"Ein nachsichtiges Echo lehrt die Gesellschaft, der Abenddämmerung mit Stahl und Zauber zugleich zu begegnen.",Un Écho indulgent apprend à la compagnie à répondre au crépuscule par l'acier autant que par le sort.
A near-final rehearsal demands twelve lights and enough Lastlight to cross the eclipse.,A near-final rehearsal demands twelve lights and enough Lastlight to cross the eclipse.,Una prova quasi definitiva richiede dodici luci e abbastanza Ultimaluce da attraversare l'eclissi.,"Eine fast letzte Generalprobe verlangt zwölf Lichter und genug Letztlicht, um die Finsternis zu durchqueren.",Une répétition presque finale exige douze lumières et assez de Dernière Lueur pour traverser l'éclipse.
The restored root tests whether six traditions can survive as one company.,The restored root tests whether six traditions can survive as one company.,La radice restaurata mette alla prova la capacità di sei tradizioni di sopravvivere come un'unica compagnia.,"Die wiederhergestellte Wurzel prüft, ob sechs Traditionen als eine Gesellschaft überleben können.",La racine restaurée éprouve la capacité de six traditions à survivre en une seule compagnie.
Abyssal Lamplighter,Abyssal Lamplighter,Lampionaio Abissale,Abyssaler Laternenanzünder,Allumeur de Lanternes Abyssal
Ash Abbot,Ash Abbot,Abate delle Ceneri,Aschenabt,Abbé des cendres
Ash Seal,Ash Seal,Sigillo di Cenere,Aschensiegel,Sceau de cendre
Ashen Disciple,Ashen Disciple,Discepolo Cinereo,Aschener Jünger,Disciple cendré
"Aster Null, Eclipse Incarnate","Aster Null, Eclipse Incarnate","Aster Null, Incarnazione dell'Eclissi","Aster Null, fleischgewordene Finsternis","Aster Null, l'Éclipse Incarnée"
Black Banner Marshal,Black Banner Marshal,Maresciallo dello Stendardo Nero,Marschall des Schwarzen Banners,Maréchal de la Bannière Noire
Bog Iron Beetle,Bog Iron Beetle,Scarabeo di Ferro Palustre,Sumpfeisen-Käfer,Scarabée de Fer des Tourbières
Brinebound Marauder,Brinebound Marauder,Predone Salmastro,Solegebundener Marodeur,Maraudeur Lié à la Saumure
Burrowing Heartworm,Burrowing Heartworm,Verme Scavatore del Cuore,Grabender Herzwurm,Ver de Cœur Fouisseur
Canopy Witch,Canopy Witch,Strega delle Fronde,Blätterdachhexe,Sorcière de la canopée
Chimera Matron,Chimera Matron,Matrona Chimera,Chimärenmatrone,Matrone chimère
Cinder Monk,Cinder Monk,Monaco della Brace,Glutmönch,Moine des braises
Citadel Vanguard,Citadel Vanguard,Avanguardia della Cittadella,Zitadellen-Vorhut,Avant-garde de la Citadelle
Cometwing Hunter,Cometwing Hunter,Cacciatore Alacometa,Kometenflügel-Jäger,Chasseur Aile-de-Comète
Crownless Regent,Crownless Regent,Reggente Senza Corona,Kronloser Regent,Régent Sans Couronne
Dawnless Knight,Dawnless Knight,Cavaliere Senz'Alba,Ritter ohne Morgenrot,Chevalier Sans Aube
Drowned Oarsman,Drowned Oarsman,Rematore Annegato,Ertrunkener Ruderer,Rameur Noyé
Drowned Sentry,Drowned Sentry,Sentinella Annegata,Ertrunkener Wachposten,Sentinelle Noyée
Drowned Tollkeeper,Drowned Tollkeeper,Gabelliere Annegato,Ertrunkener Zöllner,Péager Noyé
Earth Slime,Earth Slime,Slime della Terra,Erd-Slime,Slime de terre
Eclipse Engine,Eclipse Engine,Motore dell'Eclissi,Finsternismaschine,Moteur de l'Éclipse
Eclipse Herald,Eclipse Herald,Araldo dell'Eclissi,Finsternisherold,Héraut de l'Éclipse
Ember Prism,Ember Prism,Prisma di Brace,Glutprisma,Prisme de braise
Ember Seal,Ember Seal,Sigillo di Brace,Glutsiegel,Sceau de braise
Ferrum Rootmind,Ferrum Rootmind,Menteradice Ferrum,Ferrum-Wurzelgeist,Esprit-Racine de Ferrum
Fire Slime,Fire Slime,Slime di Fuoco,Feuer-Slime,Slime de feu
Frost Prism,Frost Prism,Prisma di Gelo,Frostprisma,Prisme de givre
Glasswing Astromancer,Glasswing Astromancer,Astromante Alacristallo,Glasflügel-Astromant,Astromancien Aile-de-Verre
Glasswing Scout,Glasswing Scout,Esploratore Alacristallo,Glasflügel-Späher,Éclaireur Aile-de-Verre
Grove Wisp,Grove Wisp,Fuoco Fatuo del Bosco,Hainirrlicht,Feu follet du bosquet
Heart's Custodian,Heart's Custodian,Custode del Cuore,Hüter des Herzens,Custode du Cœur
Hollow Castellan,Hollow Castellan,Castellano Vuoto,Hohler Kastellan,Castellan Creux
Hollow Roadwarden,Hollow Roadwarden,Guardiano Vuoto della Via,Hohler Wegewart,Gardien Creux de la Route
Hollow Star,Hollow Star,Stella Vuota,Hohler Stern,Étoile creuse
Ice Slime,Ice Slime,Slime di Ghiaccio,Eis-Slime,Slime de glace
Ironbark Treant,Ironbark Treant,Treant Scorzaferrea,Eisenrinden-Treant,Tréant d'Écorce de Fer
Ironbark Warden,Ironbark Warden,Guardiano Scorzaferrea,Eisenrinden-Wächter,Gardien d'Écorce de Fer
Lantern-Eater,Lantern-Eater,Divoralanterne,Laternenfresser,Dévoreur de lanternes
Lastlight Seraph,Lastlight Seraph,Serafino dell'Ultimaluce,Letztlicht-Seraph,Séraphin de la Dernière Lueur
Loam Mist,Loam Mist,Nebbia di Terriccio,Lehmnebel,Brume de terreau
Menagerie Stitcher,Menagerie Stitcher,Ricucitore del Serraglio,Menagerie-Näher,Ravaudeur de la Ménagerie
Mist Slime,Mist Slime,Slime della Nebbia,Nebel-Slime,Slime de brume
Mossfang Wolf,Mossfang Wolf,Lupo Zannamuschio,Moroszahn-Wolf,Loup croc-de-mousse
"Nhalassa, Bell Beneath the Tide","Nhalassa, Bell Beneath the Tide","Nhalassa, Campana Sotto la Marea","Nhalassa, Glocke unter der Flut","Nhalassa, Cloche sous la Marée"
Orbit Devourer,Orbit Devourer,Divoratore Orbitale,Orbitverschlinger,Dévoreur d'Orbite
Orbit Sentinel,Orbit Sentinel,Sentinella Orbitale,Orbit-Schildwache,Sentinelle Orbitale
"Orrun, the Walking Grove","Orrun, the Walking Grove","Orrun, il Bosco in Cammino","Orrun, der wandelnde Hain","Orrun, le Bosquet Ambulant"
Patchwork Horror,Patchwork Horror,Orrore Rattoppato,Flickwerk-Schrecken,Horreur de Rapiéçage
