keys,en,it,de,fr
Ashes Form a Map,Ashes Form a Map,Le ceneri formano una mappa,Asche formt eine Karte,Les cendres forment une carte
Bring Every Light,Bring Every Light,Porta ogni luce,Bring jedes Licht mit,Apporte toutes les lumières
First Dawn on the Last Road,First Dawn on the Last Road,Prima alba sull'Ultima Via,Erste Morgenröte auf dem Letzten Weg,Première aube sur la Dernière Route
Iron Beneath the Bark,Iron Beneath the Bark,Ferro sotto la corteccia,Eisen unter der Rinde,Du fer sous l'écorce
No Keeper Walks First,No Keeper Walks First,Nessun Custode apre la via,Kein Hüter geht voran,Aucun Gardien ne marche en tête
Orrun Chooses to Rest,Orrun Chooses to Rest,Orrun sceglie di riposare,Orrun wählt die Ruhe,Orrun choisit le repos
"Six Roots, One Road","Six Roots, One Road","Sei radici, una via","Sechs Wurzeln, eine Straße","Six racines, une seule route"
Something Hunts Between the Stars,Something Hunts Between the Stars,Qualcosa caccia tra le stelle,Etwas jagt zwischen den Sternen,Quelque chose chasse entre les étoiles
The Bell Breathes,The Bell Breathes,La campana respira,Die Glocke atmet,La cloche respire
The Bell Rings Upward,The Bell Rings Upward,La campana risuona verso l'alto,Die Glocke läutet nach oben,La cloche sonne vers le haut
The Broken Crown Points West,The Broken Crown Points West,La corona spezzata indica l'occidente,Die zerbrochene Krone weist nach Westen,La couronne brisée indique l'ouest
The Eye Veyra Could Not Swallow,The Eye Veyra Could Not Swallow,L'occhio che Veyra non riuscì a inghiottire,"Das Auge, das Veyra nicht verschlingen konnte",L'œil que Veyra n'a pas pu avaler
The First Concordance,The First Concordance,La prima Concordanza,Die erste Konkordanz,La première Concordance
The Forest Is Walking,The Forest Is Walking,La foresta cammina,Der Wald wandert,La forêt marche
The Grove Has Chosen a Road,The Grove Has Chosen a Road,Il bosco ha scelto una via,Der Hain hat eine Straße gewählt,Le bosquet a choisi une route
The Heart Still Walks,The Heart Still Walks,Il cuore cammina ancora,Das Herz wandert noch immer,Le cœur marche encore
The Last Lantern Is Not the Last,The Last Lantern Is Not the Last,L'Ultima Lanterna non è l'ultima,Die Letzte Laterne ist nicht die letzte,La Dernière Lanterne n'est pas la dernière
The Pattern Answers,The Pattern Answers,Lo schema risponde,Das Muster antwortet,Le motif répond
The Regent's Last Order,The Regent's Last Order,L'ultimo ordine del Reggente,Der letzte Befehl des Regenten,Le dernier ordre du Régent
The Road Beneath the Road,The Road Beneath the Road,La via sotto la via,Die Straße unter der Straße,La route sous la route
The Road Beyond the Ending,The Road Beyond the Ending,La via oltre la fine,Die Straße jenseits des Endes,La route au-delà de la fin
The Roots Open,The Roots Open,Le radici si aprono,Die Wurzeln öffnen sich,Les racines s'ouvrent
The Signet Points Home,The Signet Points Home,Il sigillo indica la via di casa,Das Siegel weist nach Hause,Le sceau indique le chemin du retour
The Star Looks Back,The Star Looks Back,La stella ricambia lo sguardo,Der Stern erwidert den Blick,L'étoile rend le regard
The Threshold Answers,The Threshold Answers,La soglia risponde,Die Schwelle antwortet,Le seuil répond
Two Names on the Door,Two Names on the Door,Due nomi sulla porta,Zwei Namen an der Tür,Deux noms sur la porte
We Have Made Ourselves the Constellation,We Have Made Ourselves the Constellation,Abbiamo fatto di noi stessi la costellazione,Wir haben uns selbst zum Sternbild gemacht,Nous avons fait de nous-mêmes la constellation
What the Lantern Remembered,What the Lantern Remembered,Ciò che la lanterna ricordava,Woran sich die Laterne erinnerte,Ce dont la lanterne se souvenait
"Commander, the roads beyond Emberrest are disappearing beneath a living forest. Your company may be the last one small enough to pass unnoticed. Begin in the Slime Forest. Defeat 425 of its creatures; their fading elemental traces should reveal a path buried beneath the roots.","Commander, the roads beyond Emberrest are disappearing beneath a living forest. Your company may be the last one small enough to pass unnoticed. Begin in the Slime Forest. Defeat 425 of its creatures; their fading elemental traces should reveal a path buried beneath the roots.","Comandante, le strade oltre Emberrest stanno scomparendo sotto una foresta vivente. La tua compagnia potrebbe essere l'ultima abbastanza piccola da passare inosservata. Comincia nella Foresta degli Slime. Sconfiggi 425 delle sue creature; le loro tracce elementali in dissolvenza dovrebbero rivelare un sentiero sepolto sotto le radici.","Kommandant, die Straßen jenseits von Emberrest verschwinden unter einem lebenden Wald. Deine Kompanie ist vielleicht die letzte, die klein genug ist, um unbemerkt hindurchzukommen. Beginne im Slime-Wald. Besiege 425 seiner Kreaturen; ihre verblassenden Elementarspuren sollten einen Pfad enthüllen, der unter den Wurzeln begraben liegt.","Commandant, les routes au-delà d'Emberrest disparaissent sous une forêt vivante. Ta compagnie est peut-être la dernière assez petite pour passer inaperçue. Commence dans la Forêt des slimes. Vaincs 425 de ses créatures ; leurs traces élémentaires qui s'estompent devraient révéler un chemin enfoui sous les racines."
Nhalassa's final toll released a warm core from the drowned bell. It can transform Lanternforged weapons.,Nhalassa's final toll released a warm core from the drowned bell. It can transform Lanternforged weapons.,L'ultimo rintocco di Nhalassa ha liberato un nucleo caldo dalla campana sommersa. Può trasformare le armi forgiate nella Lanterna.,Nhalassas letzter Glockenschlag löste einen warmen Kern aus der versunkenen Glocke. Er kann Laternengeschmiedete Waffen verwandeln.,Le dernier glas de Nhalassa a libéré un noyau chaud de la cloche engloutie. Il peut transformer les armes forgées à la lanterne.
"One restored road continues beyond the mapped world. It will not open because a calendar turns. The company must build its own approach, one concordance at a time.","One restored road continues beyond the mapped world. It will not open because a calendar turns. The company must build its own approach, one concordance at a time.","Una via restaurata prosegue oltre il mondo cartografato. Non si aprirà solo perché il calendario avanza. La compagnia deve costruire il proprio accesso, una Concordanza alla volta.","Eine wiederhergestellte Straße führt über die kartierte Welt hinaus. Sie öffnet sich nicht, nur weil ein Kalenderblatt umschlägt. Die Kompanie muss sich ihren eigenen Zugang bauen, eine Konkordanz nach der anderen.","Une route restaurée se poursuit au-delà du monde cartographié. Elle ne s'ouvrira pas parce qu'un calendrier tourne. La compagnie doit bâtir sa propre approche, une Concordance à la fois."
Orrun left behind a living heart small enough to carry. Its power refuses to echo itself on one bearer.,Orrun left behind a living heart small enough to carry. Its power refuses to echo itself on one bearer.,Orrun ha lasciato un cuore vivente abbastanza piccolo da poter essere trasportato. Il suo potere non si lascia duplicare sullo stesso portatore.,"Orrun hinterließ ein lebendes Herz, klein genug, um es zu tragen. Seine Kraft weigert sich, sich bei ein und demselben Träger zu wiederholen.",Orrun a laissé un cœur vivant assez petit pour être porté. Sa puissance refuse de se répéter sur un même porteur.
Orrun stopped walking rather than falling. The heartwood it yielded can awaken six advanced Ironbark weapon variants.,Orrun stopped walking rather than falling. The heartwood it yielded can awaken six advanced Ironbark weapon variants.,Orrun ha smesso di camminare invece di cadere. Il durame che ha ceduto può risvegliare sei varianti avanzate delle armi Scorzaferrea.,"Orrun hörte auf zu gehen, statt zu fallen. Das Kernholz, das es preisgab, kann sechs fortgeschrittene Varianten der Eisenrinden-Waffen erwecken.",Orrun a cessé de marcher plutôt que de tomber. Le bois de cœur qu'il a livré peut éveiller six variantes avancées des armes d'écorce de fer.
Runes inside the Ironbark Warden match marks on my lantern. The forest has grown around an ancient underground road built by the first Keepers. Follow it before the roots close again.,Runes inside the Ironbark Warden match marks on my lantern. The forest has grown around an ancient underground road built by the first Keepers. Follow it before the roots close again.,Le rune nel Guardiano Scorzaferrea corrispondono ai segni sulla mia lanterna. La foresta è cresciuta attorno a un'antica via sotterranea costruita dai primi Custodi. Seguila prima che le radici si richiudano.,"Die Runen im Inneren des Eisenrinden-Wächters entsprechen den Zeichen auf meiner Laterne. Der Wald ist um eine uralte unterirdische Straße gewachsen, die von den ersten Hütern gebaut wurde. Folge ihr, bevor sich die Wurzeln wieder schließen.",Les runes à l'intérieur du Gardien d'écorce de fer correspondent aux marques sur ma lanterne. La forêt a poussé autour d'une ancienne route souterraine bâtie par les premiers Gardiens. Suis-la avant que les racines ne se referment.
Six traditions crossed the living span without being made identical. The second fragment now carries the shape of the whole company.,Six traditions crossed the living span without being made identical. The second fragment now carries the shape of the whole company.,Sei tradizioni hanno attraversato la campata vivente senza diventare identiche. Il secondo frammento ora reca la forma dell'intera compagnia.,"Sechs Traditionen überquerten die lebende Brücke, ohne gleichgemacht zu werden. Das zweite Fragment trägt nun die Gestalt der ganzen Kompanie.",Six traditions ont franchi la travée vivante sans devenir identiques. Le deuxième fragment porte désormais la forme de la compagnie entière.
Steel and spell answered the Broken Mile together. The first fragment holds because neither demanded the road alone.,Steel and spell answered the Broken Mile together. The first fragment holds because neither demanded the road alone.,Acciaio e incantesimo hanno risposto insieme al Miglio Infranto. Il primo frammento resiste perché nessuno dei due ha preteso la via per sé.,"Stahl und Zauber antworteten der Zerbrochenen Meile gemeinsam. Das erste Fragment hält, weil keiner von beiden die Straße für sich allein forderte.",L'acier et le sort ont répondu ensemble au Mille brisé. Le premier fragment tient parce que ni l'un ni l'autre n'a exigé la route pour lui seul.
"The Ash Abbot's remains rose into a map of constellations. One star is missing, leaving a wound above the old observatory. The Hollow Star can see through corrupted creatures.","The Ash Abbot's remains rose into a map of constellations. One star is missing, leaving a wound above the old observatory. The Hollow Star can see through corrupted creatures.","I resti dell'Abate delle Ceneri si sono sollevati formando una mappa di costellazioni. Manca una stella, che lascia una ferita sopra il vecchio osservatorio. La Stella Vuota può vedere attraverso le creature corrotte.",Die Überreste des Aschenabts erhoben sich zu einer Karte aus Sternbildern. Ein Stern fehlt und hinterlässt eine Wunde über dem alten Observatorium. Der Hohle Stern kann durch verderbte Kreaturen hindurchsehen.,"Les restes de l'Abbé des cendres se sont élevés en une carte de constellations. Une étoile manque, laissant une plaie au-dessus du vieil observatoire. L'Étoile creuse peut voir à travers les créatures corrompues."
The Astromancer's lens showed the enemy breeding bodies for itself in an Umbral Menagerie. The Hollow Star is no longer merely escaping; it is choosing the shape it will wear.,The Astromancer's lens showed the enemy breeding bodies for itself in an Umbral Menagerie. The Hollow Star is no longer merely escaping; it is choosing the shape it will wear.,La lente dell'Astromante ha mostrato il nemico intento ad allevare corpi per sé in un Serraglio Umbratile. La Stella Vuota non sta più soltanto fuggendo: sta scegliendo la forma che indosserà.,"Die Linse des Astromanten zeigte, wie der Feind sich in einer Schattenmenagerie Körper heranzüchtet. Der Hohle Stern entkommt nicht mehr bloß; er wählt die Gestalt, die er tragen wird.",La lentille de l'Astromancien a révélé l'ennemi en train d'élever des corps pour lui-même dans une Ménagerie d'ombre. L'Étoile creuse ne se contente plus de s'échapper : elle choisit la forme qu'elle portera.
"The Chimera Matron guarded a royal seal stolen from Emberrest's forgotten rulers. It opens the Crownless Citadel, where a regent has prepared an empty throne for the Hollow Star.","The Chimera Matron guarded a royal seal stolen from Emberrest's forgotten rulers. It opens the Crownless Citadel, where a regent has prepared an empty throne for the Hollow Star.","La Matrona Chimera custodiva un sigillo reale rubato ai sovrani dimenticati di Emberrest. Apre la Cittadella Senza Corona, dove un reggente ha preparato un trono vuoto per la Stella Vuota.","Die Chimärenmatrone bewachte ein königliches Siegel, gestohlen von den vergessenen Herrschern Emberrests. Es öffnet die Kronlose Zitadelle, wo ein Regent einen leeren Thron für den Hohlen Stern vorbereitet hat.","La Matrone chimère gardait un sceau royal dérobé aux souverains oubliés d'Emberrest. Il ouvre la Citadelle sans couronne, où un régent a préparé un trône vide pour l'Étoile creuse."
The company carried its own dawn through the rehearsal of eclipse. Three fragments now agree on a road no Keeper could command into being.,The company carried its own dawn through the rehearsal of eclipse. Three fragments now agree on a road no Keeper could command into being.,La compagnia ha portato la propria alba attraverso la prova dell'eclissi. Tre frammenti ora concordano su una via che nessun Custode avrebbe potuto imporre con un ordine.,"Die Kompanie trug ihre eigene Morgenröte durch die Probe der Finsternis. Drei Fragmente stimmen nun über eine Straße überein, die kein Hüter herbeibefehlen konnte.",La compagnie a porté sa propre aube à travers la répétition de l'éclipse. Trois fragments s'accordent désormais sur une route qu'aucun Gardien n'aurait pu faire naître par un ordre.
"The Concordance is signed. Twelve heroes may walk the final road together, and no Keeper will command them from the front.","The Concordance is signed. Twelve heroes may walk the final road together, and no Keeper will command them from the front.",La Concordanza è firmata. Dodici eroi potranno percorrere insieme l'Ultima Via e nessun Custode li comanderà dalla prima linea.,"Die Konkordanz ist unterzeichnet. Zwölf Helden dürfen die letzte Straße gemeinsam gehen, und kein Hüter wird sie von vorn befehligen.","La Concordance est signée. Douze héros peuvent parcourir ensemble la route finale, et aucun Gardien ne les commandera depuis le front."
"The Custodian yielded the final Keeper flame. Together, the recovered lights expose the Eclipse Throne inside the Hollow Star's prison. I cannot enter, but my lantern will hold the way for four heroes.","The Custodian yielded the final Keeper flame. Together, the recovered lights expose the Eclipse Throne inside the Hollow Star's prison. I cannot enter, but my lantern will hold the way for four heroes.","Il Custode ha ceduto l'ultima fiamma dei Custodi. Insieme, le luci recuperate rivelano il Trono dell'Eclissi nella prigione della Stella Vuota. Io non posso entrare, ma la mia lanterna terrà aperta la via per quattro eroi.","Der Bewahrer gab die letzte Flamme der Hüter preis. Zusammen legen die geborgenen Lichter den Finsternisthron im Inneren des Gefängnisses des Hohlen Sterns frei. Ich kann nicht eintreten, doch meine Laterne wird vier Helden den Weg offen halten.","Le Custode a livré l'ultime flamme des Gardiens. Ensemble, les lumières récupérées révèlent le Trône de l'éclipse au cœur de la prison de l'Étoile creuse. Je ne peux pas entrer, mais ma lanterne maintiendra la voie ouverte pour quatre héros."
The Drowned Tollkeeper carried a key engraved with space for only two names. The Lantern Vault will reject a larger group. I believe my order's last intact lantern waits inside.,The Drowned Tollkeeper carried a key engraved with space for only two names. The Lantern Vault will reject a larger group. I believe my order's last intact lantern waits inside.,Il Gabelliere Annegato portava una chiave incisa con spazio per soli due nomi. La Cripta della Lanterna respingerà un gruppo più numeroso. Credo che al suo interno attenda l'ultima lanterna intatta del mio ordine.,"Der Ertrunkene Zöllner trug einen Schlüssel, in den nur Platz für zwei Namen graviert war. Die Laternengruft weist eine größere Gruppe ab. Ich glaube, die letzte unversehrte Laterne meines Ordens wartet darin.",Le Péager noyé portait une clé gravée avec de la place pour deux noms seulement. La Crypte de la lanterne refusera un groupe plus nombreux. Je crois que la dernière lanterne intacte de mon ordre attend à l'intérieur.
The eclipse released a white ember. Lastlight weapons may now be remade with the power of the first dawn.,The eclipse released a white ember. Lastlight weapons may now be remade with the power of the first dawn.,L'eclissi ha liberato una brace bianca. Ora le armi di Ultimaluce possono essere riforgiate con il potere della prima alba.,Die Finsternis setzte eine weiße Glut frei. Letztlicht-Waffen können nun mit der Kraft der ersten Morgenröte neu geschaffen werden.,L'éclipse a libéré une braise blanche. Les armes de Dernière Lumière peuvent désormais être refaites avec la puissance de la première aube.
"The eye sees Melee, Ranged, and Magic as one complete pattern, but refuses a second identical place on its bearer.","The eye sees Melee, Ranged, and Magic as one complete pattern, but refuses a second identical place on its bearer.","L'occhio vede Mischia, Distanza e Magia come un unico schema completo, ma non tollera che il suo portatore ne equipaggi un secondo identico.","Das Auge sieht Nahkampf, Fernkampf und Magie als ein einziges vollständiges Muster, verweigert seinem Träger aber einen zweiten identischen Platz.","L'œil voit Mêlée, À distance et Magie comme un seul motif complet, mais refuse une seconde place identique sur son porteur."
"The Ferrum Rootmind was holding a gate shut. Beyond it lies a causeway drowned in black water, where a bell rings beneath the surface. This road once connected twelve Keeper stations.","The Ferrum Rootmind was holding a gate shut. Beyond it lies a causeway drowned in black water, where a bell rings beneath the surface. This road once connected twelve Keeper stations.","La Menteradice Ferrum teneva chiuso un cancello. Oltre si trova una strada sommersa in acque nere, dove una campana suona sotto la superficie. Un tempo questa via collegava dodici stazioni dei Custodi.","Der Ferrum-Wurzelgeist hielt ein Tor verschlossen. Dahinter liegt ein Dammweg, ertränkt in schwarzem Wasser, wo unter der Oberfläche eine Glocke läutet. Diese Straße verband einst zwölf Hüterstationen.","L'Esprit-racine Ferrum maintenait une porte close. Au-delà s'étend une chaussée noyée sous des eaux noires, où une cloche sonne sous la surface. Cette route reliait jadis douze stations des Gardiens."
"The final road's signet promises that no hero walks alone, even when death reaches for its bearer.","The final road's signet promises that no hero walks alone, even when death reaches for its bearer.","Il sigillo dell'Ultima Via promette che nessun eroe camminerà da solo, neppure quando la morte tenderà la mano verso il suo portatore.","Das Siegel der letzten Straße verspricht, dass kein Held allein geht, selbst wenn der Tod nach seinem Träger greift.","Le sceau de la route finale promet qu'aucun héros ne marche seul, même quand la mort tend la main vers son porteur."
The Fourfold Root Key has turned. Orrun's marching grove now recognizes the company as a challenger rather than prey.,The Fourfold Root Key has turned. Orrun's marching grove now recognizes the company as a challenger rather than prey.,La Chiave della Quadruplice Radice ha girato. Il bosco in marcia di Orrun ora riconosce la compagnia come sfidante anziché come preda.,Der Vierfache Wurzelschlüssel hat sich gedreht. Orruns marschierender Hain erkennt die Kompanie nun als Herausforderer statt als Beute.,La Clé des quatre racines a tourné. Le bosquet en marche d'Orrun reconnaît désormais la compagnie comme un adversaire et non comme une proie.
"The fragment recovered from the raid awakened six marks in the Keeper's ledger. Each can now be bound permanently to a hero, and stronger raid fragments can deepen the bond.","The fragment recovered from the raid awakened six marks in the Keeper's ledger. Each can now be bound permanently to a hero, and stronger raid fragments can deepen the bond.",Il frammento recuperato dal raid ha risvegliato sei segni nel registro del Custode. Ora ciascuno può essere legato permanentemente a un eroe e frammenti da raid più potenti possono approfondire il legame.,"Das aus dem Raid geborgene Fragment erweckte sechs Zeichen im Verzeichnis des Hüters. Jedes kann nun dauerhaft an einen Helden gebunden werden, und stärkere Raid-Fragmente können die Bindung vertiefen.","Le fragment récupéré dans le raid a éveillé six marques dans le registre du Gardien. Chacune peut désormais être liée définitivement à un héros, et des fragments de raid plus puissants peuvent approfondir le Lien."
"The Hollow Star has fallen, and the heroes spared the Worldroot. Its restored branches reconnect Emberrest's roads. I have closed the old Keeper order and given its lanterns to the company. The roads belong to those willing to walk them.","The Hollow Star has fallen, and the heroes spared the Worldroot. Its restored branches reconnect Emberrest's roads. I have closed the old Keeper order and given its lanterns to the company. The roads belong to those willing to walk them.",La Stella Vuota è caduta e gli eroi hanno risparmiato la Radice del Mondo. I suoi rami restaurati ricollegano le strade di Emberrest. Ho sciolto l'antico ordine dei Custodi e consegnato le sue lanterne alla compagnia. Le vie appartengono a chi è disposto a percorrerle.,"Der Hohle Stern ist gefallen, und die Helden haben die Weltwurzel verschont. Ihre wiederhergestellten Äste verbinden die Straßen Emberrests von Neuem. Ich habe den alten Orden der Hüter aufgelöst und seine Laternen der Kompanie übergeben. Die Straßen gehören denen, die bereit sind, sie zu gehen.","L'Étoile creuse est tombée, et les héros ont épargné la Racine du Monde. Ses branches restaurées relient à nouveau les routes d'Emberrest. J'ai dissous l'ancien ordre des Gardiens et confié ses lanternes à la compagnie. Les routes appartiennent à ceux qui acceptent de les parcourir."
"The Hunter's Star Chart is complete. Its missing pattern is the company itself, and Veyra has taken the bait.","The Hunter's Star Chart is complete. Its missing pattern is the company itself, and Veyra has taken the bait.",La Carta Stellare del Cacciatore è completa. Lo schema mancante è la compagnia stessa e Veyra ha abboccato.,"Die Sternenkarte des Jägers ist vollendet. Ihr fehlendes Muster ist die Kompanie selbst, und Veyra hat den Köder geschluckt.","La Carte stellaire du chasseur est achevée. Le motif qui lui manquait est la compagnie elle-même, et Veyra a mordu à l'appât."
The Ironbark Warden guarded more than a road. Four roots have torn free and begun marching toward Emberrest. Tune their iron runes before the grove arrives.,The Ironbark Warden guarded more than a road. Four roots have torn free and begun marching toward Emberrest. Tune their iron runes before the grove arrives.,Il Guardiano Scorzaferrea proteggeva più di una via. Quattro radici si sono liberate e hanno iniziato a marciare verso Emberrest. Accorda le loro rune di ferro prima che arrivi il bosco.,"Der Eisenrinden-Wächter bewachte mehr als eine Straße. Vier Wurzeln haben sich losgerissen und marschieren nun auf Emberrest zu. Stimme ihre eisernen Runen ab, bevor der Hain eintrifft.",Le Gardien d'écorce de fer gardait plus qu'une route. Quatre racines se sont arrachées et ont commencé à marcher vers Emberrest. Accorde leurs runes de fer avant que le bosquet n'arrive.
The observatory and menagerie formed one trap. A celestial predator is following a broken constellation toward the Worldroot.,The observatory and menagerie formed one trap. A celestial predator is following a broken constellation toward the Worldroot.,L'osservatorio e il serraglio formavano un'unica trappola. Un predatore celestiale sta seguendo una costellazione infranta verso la Radice del Mondo.,Observatorium und Menagerie bildeten eine einzige Falle. Ein himmlischer Jäger folgt einem zerbrochenen Sternbild in Richtung Weltwurzel.,L'observatoire et la ménagerie ne formaient qu'un seul piège. Un prédateur céleste suit une constellation brisée en direction de la Racine du Monde.
The recovered flame remembers the Keepers imprisoning a fallen intelligence called the Hollow Star beneath the Worldroot. It has been breaking the twelve stations to reach the surface. I am the last Keeper by blood.,The recovered flame remembers the Keepers imprisoning a fallen intelligence called the Hollow Star beneath the Worldroot. It has been breaking the twelve stations to reach the surface. I am the last Keeper by blood.,La fiamma recuperata ricorda i Custodi mentre imprigionavano sotto la Radice del Mondo un'intelligenza caduta chiamata Stella Vuota. Da allora sta spezzando le dodici stazioni per raggiungere la superficie. Sono l'ultima Custode per discendenza.,"Die geborgene Flamme erinnert sich, wie die Hüter unter der Weltwurzel eine gefallene Intelligenz namens Hohler Stern einkerkerten. Seither zerbricht sie die zwölf Stationen, um die Oberfläche zu erreichen. Ich bin die letzte Hüterin der Blutlinie.","La flamme récupérée se souvient des Gardiens emprisonnant sous la Racine du Monde une intelligence déchue appelée l'Étoile creuse. Depuis, elle brise les douze stations pour atteindre la surface. Je suis la dernière Gardienne par le sang."
The recovered lantern shows an entire drowned procession circling a bell without light. The Tollkeeper's bell and the stolen flame can open its road.,The recovered lantern shows an entire drowned procession circling a bell without light. The Tollkeeper's bell and the stolen flame can open its road.,La lanterna recuperata mostra un'intera processione di annegati che gira attorno a una campana senza luce. La campana del Gabelliere e la fiamma rubata possono aprirne la via.,"Die geborgene Laterne zeigt eine ganze ertrunkene Prozession, die eine Glocke ohne Licht umkreist. Die Glocke des Zöllners und die gestohlene Flamme können ihre Straße öffnen.",La lanterne récupérée montre toute une procession noyée tournant autour d'une cloche sans lumière. La cloche du Péager et la flamme dérobée peuvent en ouvrir la route.
The Regent revealed that the army was a distraction. The real invasion travels through roots beneath every battlefield. Its last order opened a descent into the Worldroot Heart. Save the living root if you can.,The Regent revealed that the army was a distraction. The real invasion travels through roots beneath every battlefield. Its last order opened a descent into the Worldroot Heart. Save the living root if you can.,"Il Reggente ha rivelato che l'esercito era un diversivo. La vera invasione viaggia attraverso le radici sotto ogni campo di battaglia. Il suo ultimo ordine ha aperto una discesa nel Cuore della Radice del Mondo. Salva la radice vivente, se puoi.","Der Regent enthüllte, dass das Heer nur ein Ablenkungsmanöver war. Die wahre Invasion reist durch Wurzeln unter jedem Schlachtfeld. Sein letzter Befehl öffnete einen Abstieg in das Weltwurzelherz. Rette die lebende Wurzel, wenn du kannst.",Le Régent a révélé que l'armée n'était qu'une diversion. La véritable invasion voyage par les racines sous chaque champ de bataille. Son dernier ordre a ouvert une descente vers le Cœur de la Racine du Monde. Sauve la racine vivante si tu le peux.
The Rekindled Depth-Lantern burns beneath the water. The Lightless Armada has heard it and risen to answer.,The Rekindled Depth-Lantern burns beneath the water. The Lightless Armada has heard it and risen to answer.,La Lanterna delle Profondità Riaccesa arde sott'acqua. L'Armata Senza Luce l'ha udita ed è emersa per rispondere.,"Die neu entfachte Tiefenlaterne brennt unter dem Wasser. Die Lichtlose Armada hat sie gehört und ist aufgestiegen, um zu antworten.",La Lanterne des profondeurs rallumée brûle sous l'eau. L'Armada sans lumière l'a entendue et s'est levée pour répondre.
