keys,en,it,de,fr
"An armored defender who blocks routes, challenges dangerous enemies, and protects adjacent allies.","An armored defender who blocks routes, challenges dangerous enemies, and protects adjacent allies.","Un difensore corazzato che sbarra il passaggio, sfida i nemici più pericolosi e protegge gli alleati adiacenti.","Ein gepanzerter Verteidiger, der Wege versperrt, gefährliche Gegner herausfordert und benachbarte Verbündete schützt.","Un défenseur en armure qui barre les passages, défie les ennemis dangereux et protège les alliés adjacents."
Challenge the Line,Challenge the Line,Sfida alla prima linea,Herausforderung der Frontlinie,Défi à la première ligne
"Strikes the strongest enemy for -35% Attack for 2 turns (other enemies -15%), then gains +10 Threat and Intercept for 2 turns.","Strikes the strongest enemy for -35% Attack for 2 turns (other enemies -15%), then gains +10 Threat and Intercept for 2 turns.","Colpisce il nemico più forte infliggendo -35% Attacco per 2 turni (altri nemici -15%), poi ottiene +10 Minaccia e Intercetta per 2 turni.",Trifft den stärksten Gegner mit -35% Angriff für 2 Züge (andere Gegner -15%) und erhält dann +10 Bedrohung und Abfangen für 2 Züge.,"Frappe l'ennemi le plus fort en lui infligeant -35% Attaque pendant 2 tours (autres ennemis -15%), puis gagne +10 Menace et Interception pendant 2 tours."
Hold the Gate,Hold the Gate,Difesa del varco,Haltet das Tor,Tiens la porte
"Always +8 Threat and +37 Immunity, plus +33 Defense and Magic Defense while at full Health. The whole party gains +14 Immunity.","Always +8 Threat and +37 Immunity, plus +33 Defense and Magic Defense while at full Health. The whole party gains +14 Immunity.","Sempre +8 Minaccia e +37 Immunità, più +33 Difesa e Difesa magica con la Salute al massimo. L'intero gruppo ottiene +14 Immunità.","Immer +8 Bedrohung und +37 Immunität, dazu +33 Verteidigung und Magieverteidigung bei vollem Leben. Die gesamte Gruppe erhält +14 Immunität.","Toujours +8 Menace et +37 Immunité, plus +33 Défense et Défense magique à pleine Vie. Tout le groupe gagne +14 Immunité."
Royal Bastion,Royal Bastion,Bastione Reale,Königliche Bastion,Bastion royal
An immovable champion whose presence shields the entire formation and denies enemies control of the frontline.,An immovable champion whose presence shields the entire formation and denies enemies control of the frontline.,Un campione inamovibile la cui presenza protegge l'intera formazione e impedisce ai nemici di controllare la prima linea.,"Ein unerschütterlicher Champion, dessen Gegenwart die gesamte Formation schützt und den Gegnern die Herrschaft über die Frontlinie verwehrt.",Un champion inébranlable dont la présence protège toute la formation et refuse aux ennemis le contrôle de la première ligne.
Citadel Command,Citadel Command,Comando della cittadella,Zitadellenbefehl,Commandement de la citadelle
"Grants the whole party +40 Immunity for 3 turns, and takes +12 Threat with Intercept to pull enemy attacks onto itself.","Grants the whole party +40 Immunity for 3 turns, and takes +12 Threat with Intercept to pull enemy attacks onto itself.",Concede all'intero gruppo +40 Immunità per 3 turni e assume +12 Minaccia con Intercettazione per attirare su di sé gli attacchi nemici.,"Gewährt der gesamten Gruppe 3 Züge lang +40 Immunität und erhält +12 Bedrohung mit Abfangen, um gegnerische Angriffe auf sich zu ziehen.","Accorde à tout le groupe +40 Immunité pendant 3 tours, et prend +12 Menace avec Interception pour attirer les attaques ennemies sur lui."
Unyielding Standard,Unyielding Standard,Stendardo inflessibile,Unbeugsames Banner,Étendard inflexible
"Always +10 Threat, plus +4 more Defense and Magic Defense per living ally; the whole party gains +16 Defense and +12 Immunity.","Always +10 Threat, plus +4 more Defense and Magic Defense per living ally; the whole party gains +16 Defense and +12 Immunity.","Sempre +10 Minaccia, più +4 Difesa e Difesa magica aggiuntive per ogni alleato in vita; l'intero gruppo ottiene +16 Difesa e +12 Immunità.","Immer +10 Bedrohung, dazu +4 Verteidigung und Magieverteidigung zusätzlich pro lebendem Verbündeten; die gesamte Gruppe erhält +16 Verteidigung und +12 Immunität.","Toujours +10 Menace, plus +4 Défense et Défense magique supplémentaires par allié en vie ; tout le groupe gagne +16 Défense et +12 Immunité."
Paladin,Paladin,Paladino,Paladin,Paladin
"A sacred protector who combines defensive techniques with healing, cleansing, and protection from hostile magic.","A sacred protector who combines defensive techniques with healing, cleansing, and protection from hostile magic.","Un protettore sacro che unisce tecniche difensive, cure, purificazione e protezione dalla magia ostile.","Ein heiliger Beschützer, der Verteidigungstechniken mit Heilung, Reinigung und Schutz vor feindlicher Magie verbindet.","Un protecteur sacré qui allie techniques défensives, soins, purification et protection contre la magie hostile."
Lay on Hands,Lay on Hands,Imposizione delle mani,Handauflegen,Imposition des mains
"Heals the weakest ally, cleanses all harmful effects, and grants +15 Magic Defense for 2 turns.","Heals the weakest ally, cleanses all harmful effects, and grants +15 Magic Defense for 2 turns.","Cura l'alleato più debole, rimuove tutti gli effetti nocivi e concede +15 Difesa magica per 2 turni.","Heilt den schwächsten Verbündeten, reinigt alle schädlichen Effekte und gewährt +15 Magieverteidigung für 2 Züge.","Soigne l'allié le plus faible, purifie tous les effets néfastes et accorde +15 Défense magique pendant 2 tours."
Sacred Aegis,Sacred Aegis,Egida sacra,Heilige Ägis,Égide sacrée
"Always +40 Healing, +16 Defense, and +16 Magic Defense; the whole party gains +18 Immunity. After every action, Merciful Surge heals 1 wounded ally.","Always +40 Healing, +16 Defense, and +16 Magic Defense; the whole party gains +18 Immunity. After every action, Merciful Surge heals 1 wounded ally.","Sempre +40 Cure, +16 Difesa e +16 Difesa magica; l'intero gruppo ottiene +18 Immunità. Dopo ogni azione, Impeto misericordioso cura 1 alleato ferito.","Immer +40 Heilung, +16 Verteidigung und +16 Magieverteidigung; die gesamte Gruppe erhält +18 Immunität. Nach jeder Aktion heilt Gnadenwoge 1 verwundeten Verbündeten.","Toujours +40 Soins, +16 Défense et +16 Défense magique ; tout le groupe gagne +18 Immunité. Après chaque action, Vague de miséricorde soigne 1 allié blessé."
Dawn Warden,Dawn Warden,Custode dell'Alba,Morgenwächter,Gardien de l'aube
A radiant guardian who turns divine protection into powerful counterattacks and party-wide barriers.,A radiant guardian who turns divine protection into powerful counterattacks and party-wide barriers.,Un guardiano radioso che trasforma la protezione divina in potenti contrattacchi e barriere per tutto il gruppo.,"Ein strahlender Wächter, der göttlichen Schutz in mächtige Konterangriffe und Barrieren für die ganze Gruppe verwandelt.",Un gardien radieux qui transforme la protection divine en puissantes ripostes et en barrières pour tout le groupe.
Radiant Bulwark,Radiant Bulwark,Baluardo radioso,Strahlendes Bollwerk,Rempart radieux
Grants the whole party +30 Magic Defense and +12 Immunity for 3 turns.,Grants the whole party +30 Magic Defense and +12 Immunity for 3 turns.,Concede all'intero gruppo +30 Difesa magica e +12 Immunità per 3 turni.,Gewährt der gesamten Gruppe +30 Magieverteidigung und +12 Immunität für 3 Züge.,Accorde à tout le groupe +30 Défense magique et +12 Immunité pendant 3 tours.
Dawn's Promise,Dawn's Promise,Promessa dell'alba,Versprechen des Morgens,Promesse de l'aube
"The party always gains +15 Healing and +15 Immunity. Whenever an ally takes damage, the Dawn Warden gains +20 Counter Chance for 2 turns.","The party always gains +15 Healing and +15 Immunity. Whenever an ally takes damage, the Dawn Warden gains +20 Counter Chance for 2 turns.","Il gruppo ottiene sempre +15 Cure e +15 Immunità. Ogni volta che un alleato subisce danni, il Custode dell'Alba ottiene +20 Probabilità di contrattacco per 2 turni.","Die Gruppe erhält immer +15 Heilung und +15 Immunität. Immer wenn ein Verbündeter Schaden erleidet, erhält der Morgenwächter +20 Konterchance für 2 Züge.","Le groupe gagne toujours +15 Soins et +15 Immunité. Chaque fois qu'un allié subit des dégâts, le Gardien de l'Aube gagne +20 Chance de riposte pendant 2 tours."
Fighter,Fighter,Combattente,Kämpfer,Combattant
A dependable melee combatant who builds momentum through sustained attacks and adapts to different weapons.,A dependable melee combatant who builds momentum through sustained attacks and adapts to different weapons.,Un affidabile combattente corpo a corpo che accumula slancio con attacchi continui e si adatta ad armi diverse.,"Ein verlässlicher Nahkämpfer, der durch anhaltende Angriffe Schwung aufbaut und sich an verschiedene Waffen anpasst.",Un combattant de mêlée fiable qui accumule de l'Élan par des attaques soutenues et s'adapte à différentes armes.
Driving Strike,Driving Strike,Colpo incalzante,Treibender Schlag,Frappe percutante
Strikes a random enemy and grants the Fighter +20% Damage for 2 turns.,Strikes a random enemy and grants the Fighter +20% Damage for 2 turns.,Colpisce un nemico casuale e concede al Combattente +20% Danni per 2 turni.,Trifft einen zufälligen Gegner und gewährt dem Kämpfer +20% Schaden für 2 Züge.,Frappe un ennemi au hasard et accorde au Combattant +20% Dégâts pendant 2 tours.
Battle Rhythm,Battle Rhythm,Ritmo di battaglia,Kampfrhythmus,Rythme de combat
"Each basic attack adds +8% Damage (Momentum, stacks up to +42%) for the rest of the battle; +13% Damage against enemies below half Health.","Each basic attack adds +8% Damage (Momentum, stacks up to +42%) for the rest of the battle; +13% Damage against enemies below half Health.","Ogni attacco base aggiunge +8% Danni (Slancio, fino a un massimo di +42%) per il resto della battaglia; +13% Danni contro nemici sotto metà Salute.","Jeder Standardangriff fügt +8% Schaden hinzu (Schwung, stapelt bis +42%) für den Rest des Kampfes; +13% Schaden gegen Gegner unter halbem Leben.","Chaque attaque de base ajoute +8% Dégâts (Élan, cumulable jusqu'à +42%) pour le reste du combat ; +13% Dégâts contre les ennemis sous la moitié de leur Vie."
Berserker,Berserker,Berserker,Berserker,Berserker
"An aggressive warrior who trades defense and health for escalating damage, speed, and resistance to control.","An aggressive warrior who trades defense and health for escalating damage, speed, and resistance to control.",Un guerriero aggressivo che sacrifica difesa e salute per ottenere danni e velocità crescenti e una maggiore resistenza agli effetti di controllo.,"Ein aggressiver Krieger, der Verteidigung und Leben gegen steigenden Schaden, Tempo und Widerstand gegen Kontrolleffekte eintauscht.","Un guerrier agressif qui échange défense et vie contre des dégâts croissants, de la vitesse et une résistance aux effets de contrôle."
Rending Frenzy,Rending Frenzy,Frenesia lacerante,Zerfetzende Raserei,Frénésie lacérante
"Costs 10% max HP to strike a random enemy 3 times, then grants +30% Damage for 2 turns.","Costs 10% max HP to strike a random enemy 3 times, then grants +30% Damage for 2 turns.","Costa il 10% dei PV massimi per colpire un nemico casuale 3 volte, poi concede +30% Danni per 2 turni.","Kostet 10% der maximalen LP, um einen zufälligen Gegner 3-mal zu treffen, und gewährt dann +30% Schaden für 2 Züge.","Coûte 10% des PV max pour frapper un ennemi au hasard 3 fois, puis accorde +30% Dégâts pendant 2 tours."
Blood Heat,Blood Heat,Fervore del sangue,Blutglut,Ardeur du sang
"Deals up to +125% Damage as Health drops below 50%, strongest near defeat; +22% Damage against enemies below half Health. Always +15 Lifesteal.","Deals up to +125% Damage as Health drops below 50%, strongest near defeat; +22% Damage against enemies below half Health. Always +15 Lifesteal.","Infligge fino a +125% Danni quando la Salute scende sotto il 50%, al massimo in fin di vita; +22% Danni contro nemici sotto metà Salute. Sempre +15 Rubavita.","Verursacht bis zu +125% Schaden, während das Leben unter 50% fällt, am stärksten kurz vor der Niederlage; +22% Schaden gegen Gegner unter halbem Leben. Immer +15 Lebensraub.","Inflige jusqu'à +125% Dégâts à mesure que la Vie descend sous 50%, au maximum proche de la défaite ; +22% Dégâts contre les ennemis sous la moitié de leur Vie. Toujours +15 Vol de vie."
Blood Champion,Blood Champion,Campione del Sangue,Blutchampion,Champion du sang
A relentless destroyer who becomes most dangerous when wounded and can overwhelm entire enemy groups.,A relentless destroyer who becomes most dangerous when wounded and can overwhelm entire enemy groups.,Un distruttore implacabile che diventa più pericoloso quando è ferito e può travolgere interi gruppi di nemici.,"Ein unerbittlicher Zerstörer, der am gefährlichsten wird, wenn er verwundet ist, und ganze Gegnergruppen überrennen kann.",Un destructeur implacable qui devient le plus dangereux une fois blessé et peut submerger des groupes entiers d'ennemis.
Crimson Rampage,Crimson Rampage,Furia cremisi,Purpurner Amoklauf,Furie cramoisie
Strikes every enemy and heals for 50% of the damage dealt.,Strikes every enemy and heals for 50% of the damage dealt.,Colpisce tutti i nemici e recupera salute pari al 50% dei danni inflitti.,Trifft jeden Gegner und heilt um 50% des verursachten Schadens.,Frappe chaque ennemi et soigne de 50% des dégâts infligés.
Deathless Momentum,Deathless Momentum,Slancio immortale,Todloser Schwung,Élan immortel
Always +15 Lifesteal. Defeating an enemy heals 6% of maximum Health and grants +26.5% Damage for 3 turns. Survives the first lethal hit of each encounter at 1% of maximum Health.,Always +15 Lifesteal. Defeating an enemy heals 6% of maximum Health and grants +26.5% Damage for 3 turns. Survives the first lethal hit of each encounter at 1% of maximum Health.,"Sempre +15 Rubavita. Sconfiggere un nemico cura il 6% dei PV massimi e concede +26,5% Danni per 3 turni. Sopravvive al primo colpo letale di ogni scontro con l'1% dei PV massimi.","Immer +15 Lebensraub. Das Besiegen eines Gegners heilt 6% der maximalen LP und gewährt +26,5% Schaden für 3 Züge. Übersteht den ersten tödlichen Treffer jeder Begegnung mit 1% der maximalen LP.","Toujours +15 Vol de vie. Vaincre un ennemi soigne de 6% des PV max et accorde +26,5% Dégâts pendant 3 tours. Survit au premier coup fatal de chaque rencontre avec 1% des PV max."
Duelist,Duelist,Duellante,Duellant,Duelliste
"A precise combatant who parries attacks, exploits openings, and excels when fighting a single opponent.","A precise combatant who parries attacks, exploits openings, and excels when fighting a single opponent.","Un combattente preciso che para gli attacchi, sfrutta ogni apertura ed eccelle negli scontri contro un singolo avversario.","Ein präziser Kämpfer, der Angriffe pariert, Blößen ausnutzt und im Kampf gegen einen einzelnen Gegner brilliert.","Un combattant précis qui pare les attaques, exploite les ouvertures et excelle face à un adversaire unique."
Perfect Riposte,Perfect Riposte,Risposta perfetta,Perfekte Riposte,Riposte parfaite
"Strikes a random enemy, then grants +100 Counter Chance and +100 Counter Power for 2 turns.","Strikes a random enemy, then grants +100 Counter Chance and +100 Counter Power for 2 turns.","Colpisce un nemico casuale, poi concede +100 Probabilità di contrattacco e +100 Potenza di contrattacco per 2 turni.",Trifft einen zufälligen Gegner und gewährt dann +100 Konterchance und +100 Konterkraft für 2 Züge.,"Frappe un ennemi au hasard, puis accorde +100 Chance de riposte et +100 Puissance de riposte pendant 2 tours."
Guarded Poise,Guarded Poise,Compostezza difensiva,Wachsame Haltung,Aplomb vigilant
+15 Critical Chance when attacking the same enemy again; +25 Evade against a foe that keeps targeting it.,+15 Critical Chance when attacking the same enemy again; +25 Evade against a foe that keeps targeting it.,+15 Probabilità critica quando attacca di nuovo lo stesso nemico; +25 Schivata contro un nemico che continua a colpirlo.,"+15 Kritische Chance, wenn derselbe Gegner erneut angegriffen wird; +25 Ausweichen gegen einen Feind, der ihn weiterhin anvisiert.",+15 Chance critique en attaquant de nouveau le même ennemi ; +25 Esquive contre un ennemi qui continue de le cibler.
Swordmaster,Swordmaster,Maestro di spada,Schwertmeister,Maître d'armes
A peerless weapon specialist who converts perfect timing and positioning into devastating finishing attacks.,A peerless weapon specialist who converts perfect timing and positioning into devastating finishing attacks.,Uno specialista d'armi senza pari che trasforma tempismo e posizionamento perfetti in devastanti colpi di grazia.,"Ein unvergleichlicher Waffenspezialist, der perfektes Timing und Stellungsspiel in verheerende Todesstöße verwandelt.",Un spécialiste des armes sans égal qui transforme un timing et un placement parfaits en coups de grâce dévastateurs.
Sundering Form,Sundering Form,Forma dirompente,Spaltende Form,Forme fracassante
Strikes a random enemy with a guaranteed critical hit that ignores 35% Defense.,Strikes a random enemy with a guaranteed critical hit that ignores 35% Defense.,Colpisce un nemico casuale con un colpo critico garantito che ignora il 35% della Difesa.,"Trifft einen zufälligen Gegner mit einem garantierten kritischen Treffer, der 35% Verteidigung ignoriert.",Frappe un ennemi au hasard d'un coup critique garanti qui ignore 35% de la Défense.
Flowing Steel,Flowing Steel,Acciaio fluente,Fließender Stahl,Acier fluide
"Always +30 Critical Chance and +15% Damage; the first strike against a new target deals +60% Damage, and +18% Damage lands on enemies below half Health.","Always +30 Critical Chance and +15% Damage; the first strike against a new target deals +60% Damage, and +18% Damage lands on enemies below half Health.",Sempre +30 Probabilità critica e +15% Danni; il primo colpo contro un nuovo bersaglio infligge +60% Danni e +18% Danni contro nemici sotto metà Salute.,"Immer +30 Kritische Chance und +15% Schaden; der erste Treffer auf ein neues Ziel verursacht +60% Schaden, dazu +18% Schaden gegen Gegner unter halbem Leben.","Toujours +30 Chance critique et +15% Dégâts ; le premier coup porté à une nouvelle cible inflige +60% Dégâts, et +18% Dégâts contre les ennemis sous la moitié de leur Vie."
Rogue,Rogue,Ladro,Schurke,Roublard
"A fast, elusive hero who uses stealth, flanking, and critical strikes to eliminate priority targets.","A fast, elusive hero who uses stealth, flanking, and critical strikes to eliminate priority targets.","Un eroe rapido e sfuggente che usa furtività, aggiramenti e colpi critici per eliminare i bersagli prioritari.","Ein schneller, schwer fassbarer Held, der mit Heimlichkeit, Umgehung und kritischen Treffern vorrangige Ziele ausschaltet.","Un héros rapide et insaisissable qui use de furtivité, de contournement et de coups critiques pour éliminer les cibles prioritaires."
Shadowstep,Shadowstep,Passo nell'ombra,Schattenschritt,Pas d'ombre
"Ambushes the strongest enemy with +50% Critical Chance on this hit, ignoring 20% Defense.","Ambushes the strongest enemy with +50% Critical Chance on this hit, ignoring 20% Defense.","Tende un'imboscata al nemico più forte con +50% Probabilità critica su questo colpo, ignorando il 20% della Difesa.",Überfällt den stärksten Gegner mit +50% Kritischer Chance bei diesem Treffer und ignoriert dabei 20% Verteidigung.,"Prend en embuscade l'ennemi le plus fort avec +50% Chance critique sur ce coup, en ignorant 20% de la Défense."
Opportunist,Opportunist,Opportunista,Opportunist,Opportuniste
"Always +11 Evade; +16% Damage against enemies that have not acted yet this wave, and +22% Damage against enemies below half Health.","Always +11 Evade; +16% Damage against enemies that have not acted yet this wave, and +22% Damage against enemies below half Health.",Sempre +11 Schivata; +16% Danni contro nemici che non hanno ancora agito in questa ondata e +22% Danni contro nemici sotto metà Salute.,"Immer +11 Ausweichen; +16% Schaden gegen Gegner, die in dieser Welle noch nicht gehandelt haben, und +22% Schaden gegen Gegner unter halbem Leben.",Toujours +11 Esquive ; +16% Dégâts contre les ennemis qui n'ont pas encore agi durant cette vague et +22% Dégâts contre les ennemis sous la moitié de leur Vie.
Assassin,Assassin,Assassino,Assassine,Assassin
A burst-damage specialist who marks isolated targets and attacks from concealment for lethal results.,A burst-damage specialist who marks isolated targets and attacks from concealment for lethal results.,Uno specialista dei danni esplosivi che marchia i bersagli isolati e attacca dall'ombra con esiti letali.,"Ein Spezialist für Schadensausbrüche, der isolierte Ziele markiert und aus der Deckung heraus tödlich zuschlägt.",Un spécialiste des dégâts explosifs qui marque les cibles isolées et attaque depuis l'ombre avec des résultats mortels.
Marked Execution,Marked Execution,Esecuzione marchiata,Markierte Hinrichtung,Exécution marquée
"Finishes the weakest enemy for damage that rises up to 2x as its Health falls, then applies 15% Vulnerability for 3 turns if it survives.","Finishes the weakest enemy for damage that rises up to 2x as its Health falls, then applies 15% Vulnerability for 3 turns if it survives.","Finisce il nemico più debole con danni che aumentano fino al doppio quando la sua salute scende, poi applica il 15% di Vulnerabilità per 3 turni se sopravvive.","Erledigt den schwächsten Gegner mit Schaden, der bis zum Doppelten steigt, während dessen Leben sinkt, und wendet dann 3 Züge lang 15% Verwundbarkeit an, falls er überlebt.","Achève l'ennemi le plus faible avec des dégâts qui montent jusqu'à 2x à mesure que sa Vie baisse, puis applique 15% de Vulnérabilité pendant 3 tours s'il survit."
From Concealment,From Concealment,Dall'ombra,Aus der Deckung,Depuis l'ombre
Always +10 Critical Chance and +14 Evade; the first hit on a new target gains +45 Critical Chance and +51% Damage.,Always +10 Critical Chance and +14 Evade; the first hit on a new target gains +45 Critical Chance and +51% Damage.,Sempre +10 Probabilità critica e +14 Schivata; il primo colpo su un nuovo bersaglio ottiene +45 Probabilità critica e +51% Danni.,Immer +10 Kritische Chance und +14 Ausweichen; der erste Treffer auf ein neues Ziel erhält +45 Kritische Chance und +51% Schaden.,Toujours +10 Chance critique et +14 Esquive ; le premier coup sur une nouvelle cible gagne +45 Chance critique et +51% Dégâts.
Nightblade,Nightblade,Lama notturna,Nachtklinge,Lame nocturne
"A master killer who moves between shadows, chains executions, and disappears before enemies can retaliate.","A master killer who moves between shadows, chains executions, and disappears before enemies can retaliate.","Un maestro assassino che si muove tra le ombre, concatena esecuzioni e scompare prima che i nemici possano reagire.","Ein Meistermörder, der zwischen Schatten wandelt, Hinrichtungen verkettet und verschwindet, bevor Gegner zurückschlagen können.","Un maître assassin qui se déplace entre les ombres, enchaîne les exécutions et disparaît avant que les ennemis puissent riposter."
Umbral Execution,Umbral Execution,Esecuzione umbrale,Schattenhinrichtung,Exécution umbrale
Strikes every enemy for +70% damage against the wounded; killing a target grants +100 Evade for 2 turns.,Strikes every enemy for +70% damage against the wounded; killing a target grants +100 Evade for 2 turns.,Colpisce tutti i nemici infliggendo +70% danni ai feriti; sconfiggere un bersaglio concede +100 Schivata per 2 turni.,Trifft jeden Gegner und verursacht +70% Schaden gegen Verwundete; das Töten eines Ziels gewährt +100 Ausweichen für 2 Züge.,Frappe chaque ennemi avec +70% de dégâts contre les blessés ; tuer une cible accorde +100 Esquive pendant 2 tours.
Vanishing Kill,Vanishing Kill,Uccisione evanescente,Verschwindender Todesstoß,Mise à mort évanescente
Always +40% Critical Damage. Defeating an enemy grants +52% Damage for 3 turns and +46 Evade for 2 turns.,Always +40% Critical Damage. Defeating an enemy grants +52% Damage for 3 turns and +46 Evade for 2 turns.,Sempre +40% Danno critico. Sconfiggere un nemico concede +52% Danni per 3 turni e +46 Schivata per 2 turni.,Immer +40% Kritischer Schaden. Das Besiegen eines Gegners gewährt +52% Schaden für 3 Züge und +46 Ausweichen für 2 Züge.,Toujours +40% Dégâts critiques. Vaincre un ennemi accorde +52% Dégâts pendant 3 tours et +46 Esquive pendant 2 tours.
Trickster,Trickster,Ingannatore,Trickster,Filou
"A disruptive skirmisher who uses feints, smoke, theft, and misdirection to manipulate the battlefield.","A disruptive skirmisher who uses feints, smoke, theft, and misdirection to manipulate the battlefield.","Uno schermagliatore destabilizzante che usa finte, fumo, furti e depistaggi per manipolare il campo di battaglia.","Ein störender Plänkler, der mit Finten, Rauch, Diebstahl und Täuschung das Schlachtfeld manipuliert.","Un escarmoucheur perturbateur qui use de feintes, de fumée, de vol et de diversion pour manipuler le champ de bataille."
Smoke and Mirrors,Smoke and Mirrors,Fumo e specchi,Rauch und Spiegel,Fumée et miroirs
Strikes every enemy for -25% Attack for 3 turns and grants the Trickster +35 Evade for 3 turns.,Strikes every enemy for -25% Attack for 3 turns and grants the Trickster +35 Evade for 3 turns.,Colpisce tutti i nemici infliggendo -25% Attacco per 3 turni e concede all'Ingannatore +35 Schivata per 3 turni.,Trifft jeden Gegner mit -25% Angriff für 3 Züge und gewährt dem Gaukler +35 Ausweichen für 3 Züge.,Frappe chaque ennemi en lui infligeant -25% Attaque pendant 3 tours et accorde au Filou +35 Esquive pendant 3 tours.
Loaded Dice,Loaded Dice,Dadi truccati,Gezinkte Würfel,Dés pipés
Always +22 Evade and +10 Critical Chance; a successful evade grants +45% Damage for 2 turns.,Always +22 Evade and +10 Critical Chance; a successful evade grants +45% Damage for 2 turns.,Sempre +22 Schivata e +10 Probabilità critica; una schivata riuscita concede +45% Danni per 2 turni.,Immer +22 Ausweichen und +10 Kritische Chance; ein erfolgreiches Ausweichen gewährt +45% Schaden für 2 Züge.,Toujours +22 Esquive et +10 Chance critique ; une esquive réussie accorde +45% Dégâts pendant 2 tours.
Phantom,Phantom,Fantasma,Phantom,Fantôme
"An untouchable saboteur who creates decoys, steals enemy advantages, and turns hostile plans against their owners.","An untouchable saboteur who creates decoys, steals enemy advantages, and turns hostile plans against their owners.","Un sabotatore intoccabile che crea esche, sottrae i vantaggi dei nemici e rivolge i loro piani contro chi li ha ideati.","Ein unantastbarer Saboteur, der Lockvögel erschafft, gegnerische Vorteile stiehlt und feindliche Pläne gegen ihre Urheber wendet.","Un saboteur intouchable qui crée des leurres, dérobe les avantages ennemis et retourne les plans hostiles contre leurs auteurs."
Mirror Exchange,Mirror Exchange,Scambio speculare,Spiegeltausch,Échange spéculaire
"Strikes the strongest enemy, applies 20% Vulnerability for 2 turns, and grants the Phantom +100 Evade for 2 turns.","Strikes the strongest enemy, applies 20% Vulnerability for 2 turns, and grants the Phantom +100 Evade for 2 turns.","Colpisce il nemico più forte, applica il 20% di Vulnerabilità per 2 turni e concede al Fantasma +100 Schivata per 2 turni.","Trifft den stärksten Gegner, wendet 2 Züge lang 20% Verwundbarkeit an und gewährt dem Phantom +100 Ausweichen für 2 Züge.","Frappe l'ennemi le plus fort, applique 20% de Vulnérabilité pendant 2 tours et accorde au Fantôme +100 Esquive pendant 2 tours."
Untouchable Scheme,Untouchable Scheme,Piano intoccabile,Unantastbarer Plan,Plan intouchable
"Always +18 Evade and +12 Critical Chance. A successful evade grants +50% Damage for 2 turns, and critical hits apply 9% Vulnerability to the target for 3 turns.","Always +18 Evade and +12 Critical Chance. A successful evade grants +50% Damage for 2 turns, and critical hits apply 9% Vulnerability to the target for 3 turns.",Sempre +18 Schivata e +12 Probabilità critica. Una schivata riuscita concede +50% Danni per 2 turni e i colpi critici applicano il 9% di Vulnerabilità al bersaglio per 3 turni.,"Immer +18 Ausweichen und +12 Kritische Chance. Ein gelungenes Ausweichen gewährt +50% Schaden für 2 Züge, und kritische Treffer belegen das Ziel 3 Züge lang mit 9% Verwundbarkeit.","Toujours +18 Esquive et +12 Chance critique. Une esquive réussie accorde +50% Dégâts pendant 2 tours, et les coups critiques appliquent 9% de Vulnérabilité à la cible pendant 3 tours."
