keys,en,it,de,fr
Mist Reduction,Mist Reduction,Riduzione nebbia,Nebelminderung,Réduction de brume
Regeneration,Regeneration,Rigenerazione,Regeneration,Régénération
Strength,Strength,Forza,Stärke,Force
Threat,Threat,Minaccia,Bedrohung,Menace
No description available.,No description available.,Nessuna descrizione disponibile.,Keine Beschreibung verfügbar.,Aucune description disponible.
Rune of Might,Rune of Might,Runa Potenza,Rune der Macht,Rune de puissance
An ember-cut battle rune. Each rank permanently increases this hero's Attack by 1%.,An ember-cut battle rune. Each rank permanently increases this hero's Attack by 1%.,Una runa da battaglia incisa nella brace. Ogni grado aumenta permanentemente dell'1% l'Attacco di questo eroe.,Eine glutgeschnittene Kampfrune. Jeder Rang erhöht den Angriff dieses Helden dauerhaft um 1 %.,Une rune de bataille taillée dans la braise. Chaque rang augmente définitivement l'Attaque de ce héros de 1 %.
Rune of Vitality,Rune of Vitality,Runa Vitalità,Rune der Vitalität,Rune de Vitalité
A living heart sigil. Each rank permanently increases this hero's maximum Health by 1.5%.,A living heart sigil. Each rank permanently increases this hero's maximum Health by 1.5%.,"Un sigillo a forma di cuore vivente. Ogni grado aumenta permanentemente dell'1,5% la Salute massima di questo eroe.","Ein lebendes Herzsiegel. Jeder Rang erhöht das maximale Leben dieses Helden dauerhaft um 1,5 %.","Un sceau de cœur vivant. Chaque rang augmente définitivement la Vie maximale de ce héros de 1,5 %."
Rune of Agility,Rune of Agility,Runa Agilità,Rune der Beweglichkeit,Rune d'Agilité
A wind-carved wing rune. Each rank permanently adds 1 percentage point of Evade.,A wind-carved wing rune. Each rank permanently adds 1 percentage point of Evade.,Una runa alata scolpita dal vento. Ogni grado aggiunge permanentemente 1 punto percentuale di Schivata.,Eine windgeschliffene Flügelrune. Jeder Rang fügt dauerhaft 1 Prozentpunkt Ausweichen hinzu.,Une rune ailée sculptée par le vent. Chaque rang ajoute définitivement 1 point de pourcentage d'Esquive.
Rune of Precision,Rune of Precision,Runa Precisione,Rune der Präzision,Rune de Précision
A star aligned upon a perfect mark. Each rank permanently adds 1 percentage point of Critical Chance.,A star aligned upon a perfect mark. Each rank permanently adds 1 percentage point of Critical Chance.,Una stella allineata su un bersaglio perfetto. Ogni grado aggiunge permanentemente 1 punto percentuale di Probabilità critica.,"Ein Stern, ausgerichtet auf ein perfektes Ziel. Jeder Rang fügt dauerhaft 1 Prozentpunkt Kritische Chance hinzu.",Une étoile alignée sur une cible parfaite. Chaque rang ajoute définitivement 1 point de pourcentage de Chance critique.
Rune of Bulwark,Rune of Bulwark,Runa Baluardo,Rune des Bollwerks,Rune de Rempart
A shield rune braced against mortal force. Each rank permanently adds 1 percentage point of Defense.,A shield rune braced against mortal force. Each rank permanently adds 1 percentage point of Defense.,Una runa-scudo che resiste alla forza mortale. Ogni grado aggiunge permanentemente 1 punto percentuale di Difesa.,"Eine Schildrune, gestemmt gegen sterbliche Gewalt. Jeder Rang fügt dauerhaft 1 Prozentpunkt Verteidigung hinzu.",Une rune-bouclier arc-boutée contre la force mortelle. Chaque rang ajoute définitivement 1 point de pourcentage de Défense.
Rune of Warding,Rune of Warding,Runa Difesa,Rune der Abwehr,Rune de Protection
Three arcane wards bound as one. Each rank permanently adds 1 percentage point of Magic Defense.,Three arcane wards bound as one. Each rank permanently adds 1 percentage point of Magic Defense.,Tre protezioni arcane unite in una sola. Ogni grado aggiunge permanentemente 1 punto percentuale di Difesa magica.,"Drei arkane Schutzzeichen, zu einem gebunden. Jeder Rang fügt dauerhaft 1 Prozentpunkt Magieverteidigung hinzu.",Trois protections arcaniques liées en une seule. Chaque rang ajoute définitivement 1 point de pourcentage de Défense magique.
+1 point,+1 point,+1 punto,+1 Punkt,+1 point
+2 points,+2 points,+2 punti,+2 Punkte,+2 points
+3 points,+3 points,+3 punti,+3 Punkte,+3 points
+4 points,+4 points,+4 punti,+4 Punkte,+4 points
Tideglass,Tideglass,Vetromarea,Gezeitenglas,Verre de marée
Tideglass Egg,Tideglass Egg,Uovo di Vetromarea,Gezeitenglas-Ei,Œuf de verre de marée
Drowned Tollkeeper,Drowned Tollkeeper,Gabelliere Annegato,Ertrunkener Zöllner,Péager Noyé
Ripple,Ripple,Onda,Kräuselung,Ondulation
Brine,Brine,Salamoia,Salzlake,Saumure
Tollie,Tollie,Tollie,Tollie,Tollie
Maris,Maris,Maris,Maris,Maris
Shellby,Shellby,Shellby,Shellby,Shellby
Current,Current,Corrente,Aktuell,Actuel
Brineback Crab,Brineback Crab,Granchio dal dorso salmastro,Salzrücken-Krabbe,Crabe dos-de-saumure
Tollfin Otter,Tollfin Otter,Lontra della campana,Glockenflossen-Otter,Loutre nageoire-de-cloche
Bellkeeper Turtle,Bellkeeper Turtle,Tartaruga guardiana della campana,Glockenhüter-Schildkröte,Tortue gardienne de la cloche
Sovereign Bellwyrm,Sovereign Bellwyrm,Dragoserpe sovrano della campana,Souveräner Glockenwyrm,Wyrm-cloche souverain
Orbitglass,Orbitglass,Vetroorbitale,Orbitglas,Verre orbital
Orbitglass Egg,Orbitglass Egg,Uovo vetroorbitale,Orbitglas-Ei,Œuf de verre orbital
Glasswing Astromancer,Glasswing Astromancer,Astromante Alacristallo,Glasflügel-Astromant,Astromancien Aile-de-Verre
Patch,Patch,Pezza,Flicken,Pièce
Morrow,Morrow,Morrow,Morrow,Morrow
Mosaic,Mosaic,Mosaico,Mosaik,Mosaïque
Shade,Shade,Ombra,Schatten,Ombre
Stitch,Stitch,Punto,Stich,Point
Nyx,Nyx,Nyx,Nyx,Nyx
Prism,Prism,Prisma,Prisma,Prisme
Lens,Lens,Lente,Linse,Lentille
Vesper,Vesper,Vespro,Vesper,Vêpres
Glasswing Scarab,Glasswing Scarab,Scarabeo Alacristallo,Glasflügelkäfer,Scarabée Aile-de-verre
Prismtail Familiar,Prismtail Familiar,Famiglio Codaprisma,Prismenschwanz-Vertrauter,Familier Queue-de-prisme
Orrery Warden,Orrery Warden,Guardiano dell'Orreria,Orrery-Wächter,Gardien du planétaire
Convergence Wyrm,Convergence Wyrm,Dragoserpe della Convergenza,Konvergenzwyrm,Wyrm de la Convergence
Rootbound,Rootbound,Radicato,Wurzelgebunden,Enraciné
Rootbound Egg,Rootbound Egg,Uovo Radicato,Wurzelgebundenes Ei,Œuf enraciné
"Orrun, the Walking Grove","Orrun, the Walking Grove","Orrun, il Bosco in Cammino","Orrun, der wandelnde Hain","Orrun, le Bosquet Ambulant"
Twig,Twig,Rametto,Zweig,Brindille
Acorn,Acorn,Ghianda,Eichel,Gland
Briar,Briar,Rovo,Dornbusch,Ronce
Moss,Moss,Muschio,Moos,Mousse
Orris,Orris,Orris,Orris,Orris
Canopy,Canopy,Chioma,Blätterdach,Canopée
Burrow Sprout,Burrow Sprout,Germoglio di tana,Bauspross,Pousse de terrier
Canopy Staglet,Canopy Staglet,Cerbiatto della chioma,Blätterdach-Hirschkalb,Faon de la canopée
Grove Colossus Calf,Grove Colossus Calf,Cucciolo del Colosso del bosco,Hain-Kolosskalb,Petit du Colosse du Bosquet
Worldroot Kirin,Worldroot Kirin,Kirin della Radice del Mondo,Weltwurzel-Kirin,Kirin de la Racine du Monde
Lightless,Lightless,Senza Luce,Lichtlos,Sans lumière
Lightless Egg,Lightless Egg,Uovo Senza Luce,Lichtloses Ei,Œuf sans lumière
"Nhalassa, Bell Beneath the Tide","Nhalassa, Bell Beneath the Tide","Nhalassa, Campana Sotto la Marea","Nhalassa, Glocke unter der Flut","Nhalassa, Cloche sous la Marée"
Glim,Glim,Barlume,Schimmer,Lueur
Bell,Bell,Campana,Glocke,Cloche
Abyss,Abyss,Abisso,Abgrund,Abîme
Nahla,Nahla,Nahla,Nahla,Nahla
Echo,Echo,Eco,Echo,Écho
Drift,Drift,Deriva,Drift,Dérive
Gloom Minnow,Gloom Minnow,Pesciolino tenebroso,Düsterelritze,Vairon des ténèbres
Tidebell Ray,Tidebell Ray,Manta campana di marea,Gezeitenglocken-Rochen,Raie cloche-de-marée
Abyssal Lanternling,Abyssal Lanternling,Lanterino abissale,Abyssaler Laternling,Lanterneau abyssal
Dreadbell Whale,Dreadbell Whale,Balena della campana funesta,Schreckensglockenwal,Baleine du glas funeste
Starglass,Starglass,Vetrostellare,Sternenglas,Verre stellaire
Starglass Egg,Starglass Egg,Uovo di Vetrostellare,Sternenglas-Ei,Œuf de verre stellaire
"Veyra, the Star-Eating Chimera","Veyra, the Star-Eating Chimera","Veyra, la Chimera Divorastelle","Veyra, die sternenfressende Chimäre","Veyra, la Chimère Dévoreuse d'Étoiles"
Comet,Comet,Cometa,Komet,Comète
Vey,Vey,Vey,Vey,Vey
Orbit,Orbit,Orbita,Orbit,Orbite
Nova,Nova,Nova,Nova,Nova
Glint,Glint,Scintilla,Glanz,Éclat
Astra,Astra,Astra,Astra,Astra
Comet Moth,Comet Moth,Falena cometa,Kometenfalter,Papillon comète
Starglass Raptor,Starglass Raptor,Rapace di Vetrostellare,Sternenglas-Raubvogel,Rapace de verre stellaire
Star-Eater Cub,Star-Eater Cub,Cucciolo divorastelle,Sternenfresser-Junges,Petit dévoreur d'étoiles
Constellation Phoenix,Constellation Phoenix,Fenice delle costellazioni,Sternbild-Phönix,Phénix des constellations
Eclipse,Eclipse,Eclissi,Finsternis,Éclipse
Eclipse Egg,Eclipse Egg,Uovo dell'eclissi,Finsternis-Ei,Œuf de l'éclipse
"Aster Null, Eclipse Incarnate","Aster Null, Eclipse Incarnate","Aster Null, Incarnazione dell'Eclissi","Aster Null, fleischgewordene Finsternis","Aster Null, l'Éclipse Incarnée"
Dawn,Dawn,Alba,Morgenrot,Aube
Dusk,Dusk,Crepuscolo,Abenddämmerung,Crépuscule
Aster,Aster,Aster,Aster,Aster
Halo,Halo,Alone,Halo,Halo
Ember,Ember,Brace,Glut,Braise
Eventide,Eventide,Imbrunire,Abendrot,Tombée du soir
Dawn Hare,Dawn Hare,Lepre dell'alba,Morgenhase,Lièvre de l'aube
Duskwing,Duskwing,Alacrepuscolo,Dämmerschwinge,Aile-crépuscule
Eclipse Seraph,Eclipse Seraph,Serafino dell'eclissi,Eklipsenseraph,Séraphin de l'Éclipse
Totality Dragon,Totality Dragon,Drago della totalità,Totalitätsdrache,Dragon de la Totalité
Ember gel,Ember gel,Gel di Brace,Glutgel,Gel de braise
Warm elemental gel gathered from fire slimes. It holds heat long after the creature is defeated.,Warm elemental gel gathered from fire slimes. It holds heat long after the creature is defeated.,Gel elementale caldo raccolto dagli slime di fuoco. Conserva il calore a lungo dopo la sconfitta della creatura.,"Warmes Elementargel, gesammelt von Feuer-Slimes. Es hält die Hitze noch lange nach der Niederlage der Kreatur.",Gel élémentaire chaud recueilli sur les Slimes de feu. Il conserve sa chaleur longtemps après la défaite de la créature.
Frost gel,Frost gel,Gel di Gelo,Frostgel,Gel de givre
Cold elemental gel gathered from ice slimes. A thin layer of frost constantly forms around it.,Cold elemental gel gathered from ice slimes. A thin layer of frost constantly forms around it.,Gel elementale freddo raccolto dagli slime di ghiaccio. Intorno ad esso si forma continuamente un sottile strato di brina.,"Kaltes Elementargel, gesammelt von Eis-Slimes. Beständig bildet sich eine dünne Reifschicht darum.",Gel élémentaire froid recueilli sur les Slimes de glace. Une fine couche de givre se forme constamment autour de lui.
Toxic gel,Toxic gel,Gel Tossico,Giftgel,Gel toxique
Volatile elemental gel gathered from poison slimes. It must be handled with care.,Volatile elemental gel gathered from poison slimes. It must be handled with care.,Gel elementale volatile raccolto dagli slime velenosi. Deve essere maneggiato con cautela.,"Flüchtiges Elementargel, gesammelt von Gift-Slimes. Es muss mit Vorsicht gehandhabt werden.",Gel élémentaire volatil recueilli sur les Slimes de poison. Il doit être manipulé avec précaution.
Moss gel,Moss gel,Gel di Muschio,Moosgel,Gel de mousse
Dense elemental gel gathered from earth slimes. Moss continues to grow across its surface.,Dense elemental gel gathered from earth slimes. Moss continues to grow across its surface.,Denso gel elementale raccolto dagli slime di terra. Il muschio continua a crescere sulla sua superficie.,"Dichtes Elementargel, gesammelt von Erd-Slimes. Auf seiner Oberfläche wächst unablässig Moos.",Gel élémentaire dense recueilli sur les Slimes de terre. De la mousse ne cesse de pousser à sa surface.
Stabilized Slime Core,Stabilized Slime Core,Nucleo di slime stabilizzato,Stabilisierter Slime-Kern,Noyau de Slime stabilisé
Ember and moss gel stabilized into the rigid half of tier 1 equipment.,Ember and moss gel stabilized into the rigid half of tier 1 equipment.,Gel di brace e muschioso stabilizzati nella parte rigida dell'equipaggiamento di grado 1.,"Glut- und Moosgel, stabilisiert zur starren Hälfte der Ausrüstung des Grades 1.",Gel de braise et de mousse stabilisé en la moitié rigide de l'équipement de palier 1.
Gelweave Spool,Gelweave Spool,Rocchetto di trama gelatinosa,Gelgewebe-Spule,Bobine de trame gélatineuse
Frost and toxic gel drawn into flexible strands for tier 1 equipment.,Frost and toxic gel drawn into flexible strands for tier 1 equipment.,Gel di gelo e tossico filati in fibre flessibili per l'equipaggiamento di grado 1.,"Frost- und Giftgel, gezogen zu flexiblen Strängen für Ausrüstung des Grades 1.",Gel de givre et gel toxique filés en brins souples pour l'équipement de palier 1.
Slime Charm,Slime Charm,Amuleto di slime,Slime-Amulett,Amulette de slime
A compact charm made by carefully balancing the four elemental gels.,A compact charm made by carefully balancing the four elemental gels.,Un piccolo amuleto creato bilanciando con cura i quattro gel elementali.,"Ein kompaktes Amulett, geschaffen durch sorgfältiges Ausbalancieren der vier Elementargele.",Un charme compact créé en équilibrant soigneusement les quatre gels élémentaires.
Slime Crown,Slime Crown,Corona di slime,Slime-Krone,Couronne de slime
A royal slime crown crystallized around the Slime King's prismatic jewel. It rewards its bearer with greater experience from every victory.,A royal slime crown crystallized around the Slime King's prismatic jewel. It rewards its bearer with greater experience from every victory.,Una corona reale di slime cristallizzata attorno al gioiello prismatico del Re degli Slime. Dona a chi la indossa più esperienza a ogni vittoria.,"Eine königliche Slime-Krone, kristallisiert um das prismatische Juwel des Slime-Königs. Sie belohnt ihren Träger mit mehr Erfahrung aus jedem Sieg.",Une couronne royale de Slime cristallisée autour du joyau prismatique du Roi des Slimes. Elle récompense son porteur par plus d'expérience à chaque victoire.
Beast Hide,Beast Hide,Pelle di Bestia,Bestienhaut,Peau de bête
Raw hide stripped from Forest Edge predators.,Raw hide stripped from Forest Edge predators.,Pelle grezza ricavata dai predatori del Margine della Foresta.,"Rohe Haut, abgezogen von Raubtieren des Waldrands.",Peau brute prélevée sur les prédateurs de la Lisière de la Forêt.
Sylvan Fiber,Sylvan Fiber,Fibra Silvestre,Waldfaser,Fibre sylvestre
Tough strands gathered from living forest creatures.,Tough strands gathered from living forest creatures.,Fibre robuste raccolte dalle creature viventi della foresta.,"Zähe Fasern, gesammelt von lebenden Waldgeschöpfen.",Fibres résistantes recueillies sur les créatures vivantes de la forêt.
Ironbark Chunk,Ironbark Chunk,Pezzo di Scorzaferrea,Eisenrinden-Brocken,Morceau d'Écorce de Fer
A dense fragment of iron-hard heartwood.,A dense fragment of iron-hard heartwood.,Un denso frammento di durame duro come il ferro.,Ein dichtes Fragment eisenharten Kernholzes.,Un dense fragment de duramen dur comme le fer.
Bog Iron Ore,Bog Iron Ore,Minerale di Ferro Palustre,Sumpfeisenerz,Minerai de fer des marais
Rust-dark ore pulled from the forest bog.,Rust-dark ore pulled from the forest bog.,Minerale scuro di ruggine estratto dalla palude della foresta.,"Rostdunkles Erz, gezogen aus dem Waldmoor.",Minerai sombre de rouille tiré de la tourbière de la forêt.
Ironbark Frame,Ironbark Frame,Intelaiatura di Scorzaferrea,Eisenrinden-Gestell,Armature d'écorce-de-fer
Hide and ironbark shaped into the rigid half of tier 3 equipment.,Hide and ironbark shaped into the rigid half of tier 3 equipment.,Pelle e Scorzaferrea modellate nella parte rigida dell'equipaggiamento di grado 3.,"Haut und Eisenrinde, geformt zur starren Hälfte der Ausrüstung des Grades 3.",Peau et écorce-de-fer façonnées en la moitié rigide de l'équipement de palier 3.
Sylvan Iron Binding,Sylvan Iron Binding,Legatura di ferro silvestre,Waldeisen-Bindung,Lien de fer sylvestre
Sylvan fiber braided around bog iron for flexible tier 3 bindings.,Sylvan fiber braided around bog iron for flexible tier 3 bindings.,Fibra silvestre intrecciata attorno al ferro palustre per creare legature flessibili di grado 3.,"Waldfaser, geflochten um Sumpfeisen, für flexible Bindungen des Grades 3.",Fibre sylvestre tressée autour du fer des marais pour des liens souples de palier 3.
Ironbark Blade,Ironbark Blade,Lama di Scorzaferrea,Eisenrindenklinge,Lame d'écorce-de-fer
A balanced melee weapon with a bog-iron edge and an ironbark grip.,A balanced melee weapon with a bog-iron edge and an ironbark grip.,Un'arma da mischia equilibrata con filo di ferro palustre e impugnatura di Scorzaferrea.,Eine ausgewogene Nahkampfwaffe mit einer Schneide aus Sumpfeisen und einem Griff aus Eisenrinde.,"Une arme de mêlée équilibrée, au tranchant de fer des marais et à la poignée d'écorce-de-fer."
Thornwood Bow,Thornwood Bow,Arco di legnospino,Dornholzbogen,Arc de bois d'épines
A flexible longbow strung with enchanted sylvan thread.,A flexible longbow strung with enchanted sylvan thread.,Un arco lungo flessibile con una corda di filo silvestre incantato.,"Ein flexibler Langbogen, gespannt mit verzaubertem Waldfaden.",Un arc long souple tendu d'un fil sylvestre enchanté.
Groveheart Staff,Groveheart Staff,Bastone del cuore del bosco,Hainherz-Stab,Bâton du Cœur du Bosquet
A living staff that focuses the magic stored in its resin core.,A living staff that focuses the magic stored in its resin core.,Un bastone vivente che concentra la magia custodita nel suo nucleo di resina.,"Ein lebender Stab, der die im Harzkern gespeicherte Magie bündelt.",Un bâton vivant qui concentre la magie stockée dans son cœur de résine.
Ranger Leather,Ranger Leather,Cuoio da esploratore,Waldläuferleder,Cuir de rôdeur
Light cured leather that leaves its wearer quick and silent.,Light cured leather that leaves its wearer quick and silent.,Cuoio conciato leggero che rende chi lo indossa rapido e silenzioso.,"Leichtes gegerbtes Leder, das seinen Träger schnell und lautlos macht.",Cuir tanné léger qui rend son porteur rapide et silencieux.
Ironbark Brigandine,Ironbark Brigandine,Brigantina di Scorzaferrea,Eisenrinden-Brigantine,Brigandine d'écorce-de-fer
Layered leather and ironbark plates for adaptable protection.,Layered leather and ironbark plates for adaptable protection.,Strati di cuoio e piastre di Scorzaferrea per una protezione versatile.,Geschichtete Leder- und Eisenrindenplatten für anpassungsfähigen Schutz.,Cuir et plaques d'écorce-de-fer en couches pour une protection adaptable.
Rootforged Plate,Rootforged Plate,Piastre forgiate nelle radici,Wurzel­geschmiedeter Panzer,Plastron forgé-racine
Heavy bog iron plate bound with living thorn resin.,Heavy bog iron plate bound with living thorn resin.,Pesanti piastre di ferro palustre legate con resina di spine viventi.,"Schwerer Sumpfeisenpanzer, gebunden mit lebendem Dornenharz.",Lourdes plaques de fer des marais liées par une résine d'épines vivantes.
Slimy Sword,Slimy Sword,Spada gelatinosa,Schleimschwert,Épée gluante
A flexible blade forged around a hardened elemental slime core.,A flexible blade forged around a hardened elemental slime core.,Una lama flessibile forgiata attorno a un nucleo elementale di slime indurito.,"Eine flexible Klinge, geschmiedet um einen gehärteten elementaren Slime-Kern.",Une lame souple forgée autour d'un noyau de Slime élémentaire durci.
Slimy Bow,Slimy Bow,Arco gelatinoso,Schleimbogen,Arc gluant
A springy slime-strung bow that rewards precise shots.,A springy slime-strung bow that rewards precise shots.,Un arco elastico con corda di slime che premia i colpi precisi.,"Ein federnder, slimegespannter Bogen, der präzise Schüsse belohnt.",Un arc souple à corde de Slime qui récompense les tirs précis.
Slimy Staff,Slimy Staff,Bastone gelatinoso,Schleimstab,Bâton gluant
A living gel focus that amplifies its wielder's magical insight.,A living gel focus that amplifies its wielder's magical insight.,Un catalizzatore di gel vivente che amplifica l'intuito magico di chi lo impugna.,"Ein lebender Gelfokus, der die magische Einsicht seines Trägers verstärkt.",Un focus de gel vivant qui amplifie l'intuition magique de celui qui le manie.
Gem Cluster,Gem Cluster,Ammasso di gemme,Edelsteincluster,Amas de gemmes
An exceptionally rare crystal cluster. It opens automatically when dungeon rewards are collected and grants 1–5 gems.,An exceptionally rare crystal cluster. It opens automatically when dungeon rewards are collected and grants 1–5 gems.,Un ammasso di cristalli eccezionalmente raro. Si apre automaticamente quando vengono raccolte le ricompense del dungeon e concede 1–5 gemme.,"Ein außergewöhnlich seltener Kristallcluster. Er öffnet sich automatisch, wenn Verliesbelohnungen eingesammelt werden, und gewährt 1–5 Edelsteine.",Un amas de cristaux exceptionnellement rare. Il s'ouvre automatiquement lorsque les récompenses du donjon sont récoltées et accorde 1 à 5 gemmes.
Prism Shard,Prism Shard,Scheggia Prismatica,Prismensplitter,Éclat prismatique
A refractive crystal gathered in the Elemental Depths.,A refractive crystal gathered in the Elemental Depths.,Un cristallo rifrangente raccolto nelle Profondità Elementali.,"Ein lichtbrechender Kristall, gesammelt in den Elementartiefen.",Un cristal réfringent recueilli dans les Profondeurs Élémentaires.
Condensed Mist,Condensed Mist,Nebbia Condensata,Verdichteter Nebel,Brume condensée
Elemental mist stabilized into a workable droplet.,Elemental mist stabilized into a workable droplet.,Nebbia elementale stabilizzata in una goccia lavorabile.,"Elementarnebel, stabilisiert zu einem verarbeitbaren Tropfen.",Brume élémentaire stabilisée en une gouttelette exploitable.
Ironbark Seed,Ironbark Seed,Seme di Scorzaferrea,Eisenrindensamen,Graine d'écorce de fer
"A plated ironwood seed recovered from the Ironbark Warden, still warm with restorative sap.","A plated ironwood seed recovered from the Ironbark Warden, still warm with restorative sap.","Un seme corazzato di legnoferro recuperato dal Guardiano di Scorzaferrea, ancora caldo di linfa rigenerante.","Ein gepanzerter Eisenholzsame, geborgen vom Eisenrinden-Wächter, noch warm von heilendem Saft.","Une graine plaquée de bois-de-fer récupérée sur le Gardien d'Écorce-de-fer, encore tiède de sève réparatrice."
Prismatic Crown Jewel,Prismatic Crown Jewel,Gioiello della Corona Prismatica,Prismatisches Kronjuwel,Joyau de la Couronne Prismatique
"A rare royal prism condensed by the Slime King, used for tier 2 accessories.","A rare royal prism condensed by the Slime King, used for tier 2 accessories.","Un raro prisma reale condensato dal Re degli Slime, usato per gli accessori di grado 2.","Ein seltenes königliches Prisma, verdichtet vom Slime-König, verwendet für Accessoires des Grades 2.","Un prisme royal rare condensé par le Roi des Slimes, utilisé pour les accessoires de palier 2."
Rootsteel Ore,Rootsteel Ore,Minerale di Acciaioradice,Wurzelstahlerz,Minerai d'acier-racine
Living ore mined from the Ironroot Warrens.,Living ore mined from the Ironroot Warrens.,Minerale vivente estratto dai Cunicoli di Radiceferrea.,"Lebendes Erz, abgebaut in den Eisenwurzel-Gängen.",Minerai vivant extrait des Terriers de Racine-de-fer.
Luminous Spore,Luminous Spore,Spora Luminosa,Leuchtende Spore,Spore Lumineuse
A bright binding spore used in Rootsteel craft.,A bright binding spore used in Rootsteel craft.,Una spora luminosa e legante usata nella lavorazione dell'Acciaioradice.,"Eine leuchtende Bindespore, die im Wurzelstahl-Handwerk verwendet wird.",Une spore liante lumineuse utilisée dans le travail de l'acier-racine.
Rootmind Core,Rootmind Core,Nucleo della Menteradice,Wurzelgeist-Kern,Noyau d'esprit-racine
The patterned iron heart of the Ferrum Rootmind.,The patterned iron heart of the Ferrum Rootmind.,Il cuore di ferro intarsiato della Mente Radice Ferrum.,Das gemusterte Eisenherz des Ferrum-Wurzelgeistes.,Le cœur de fer ouvragé de l'Esprit-Racine Ferrum.
Tideglass Shard,Tideglass Shard,Scheggia di Vetromarea,Gezeitenglas-Splitter,Éclat de Verre de Marée
Sea glass hardened by the Sunken Causeway.,Sea glass hardened by the Sunken Causeway.,Vetro marino indurito dalla Strada Sommersa.,"Seeglas, gehärtet vom Versunkenen Damm.",Verre de mer durci par la Chaussée Engloutie.
Brinecloth,Brinecloth,Tessuto Salmastro,Salzlakentuch,Étoffe de saumure
Salt-preserved cloth that remains flexible underwater.,Salt-preserved cloth that remains flexible underwater.,Tessuto conservato nel sale che resta flessibile sott'acqua.,"Salzkonserviertes Tuch, das unter Wasser flexibel bleibt.",Toile conservée au sel qui reste souple sous l'eau.
Tollkeeper Bell,Tollkeeper Bell,Campana del Gabelliere,Zöllnerglocke,Cloche du Péager
A corroded bell taken from the drowned gatekeeper.,A corroded bell taken from the drowned gatekeeper.,Una campana corrosa sottratta al guardiano annegato.,"Eine zerfressene Glocke, dem ertrunkenen Torwächter abgenommen.",Une cloche corrodée prise au portier noyé.
Lantern Alloy,Lantern Alloy,Lega della Lanterna,Laternenlegierung,Alliage de lanterne
Warm alloy recovered from the sealed Lantern Vault.,Warm alloy recovered from the sealed Lantern Vault.,Lega calda recuperata dalla Cripta della Lanterna sigillata.,"Warme Legierung, geborgen aus der versiegelten Laternengruft.",Alliage chaud récupéré dans la Crypte scellée de la lanterne.
Keeper Wick,Keeper Wick,Stoppino del Custode,Docht des Hüters,Mèche du gardien
A fireproof wick still carrying a steady golden glow.,A fireproof wick still carrying a steady golden glow.,Uno stoppino ignifugo che emana ancora un bagliore dorato e costante.,"Ein feuerfester Docht, der noch immer ein stetes goldenes Glühen trägt.",Une mèche ignifuge portant encore une lueur dorée et constante.
Devoured Flame,Devoured Flame,Fiamma Divorata,Verschlungene Flamme,Flamme Dévorée
A rescued fragment of light from the Lantern-Eater.,A rescued fragment of light from the Lantern-Eater.,Un frammento di luce salvato dal Divoratore di Lanterne.,Ein geretteter Lichtsplitter vom Laternenfresser.,Un fragment de lumière sauvé du Dévoreur de Lanternes.
